heldout_physical_match_id,state_definition,state,pi0
2020__2020-07-03,S0_raw,low,0.6334766450484589
2020__2020-07-03,S0_raw,mid,0.269255993587408
2020__2020-07-03,S0_raw,high,0.0972673613641332
2020__2020-07-04,S0_raw,low,0.6334341554211261
2020__2020-07-04,S0_raw,mid,0.2694421824104234
2020__2020-07-04,S0_raw,high,0.0971236621684504
2020__2020-07-10,S0_raw,low,0.6331656830537548
2020__2020-07-10,S0_raw,mid,0.2693548856004885
2020__2020-07-10,S0_raw,high,0.0974794313457569
2020__2020-07-11,S0_raw,low,0.6337966669092497
2020__2020-07-11,S0_raw,mid,0.269441816461684
2020__2020-07-11,S0_raw,high,0.0967615166290663
2020__2020-07-18,S0_raw,low,0.6333653258877934
2020__2020-07-18,S0_raw,mid,0.2694936451153186
2020__2020-07-18,S0_raw,high,0.097141028996888
2020__2020-07-19,S0_raw,low,0.6330865272938444
2020__2020-07-19,S0_raw,mid,0.2690331010452961
2020__2020-07-19,S0_raw,high,0.0978803716608594
2020__2020-07-24,S0_raw,low,0.6330426173177444
2020__2020-07-24,S0_raw,mid,0.2694922904442277
2020__2020-07-24,S0_raw,high,0.0974650922380279
2020__2020-07-25,S0_raw,low,0.6334195761504695
2020__2020-07-25,S0_raw,mid,0.2694264368150237
2020__2020-07-25,S0_raw,high,0.0971539870345068
2020__2020-08-01,S0_raw,low,0.6336607727570399
2020__2020-08-01,S0_raw,mid,0.2691406534235611
2020__2020-08-01,S0_raw,high,0.0971985738193989
2020__2020-08-02,S0_raw,low,0.6335054169999272
2020__2020-08-02,S0_raw,mid,0.269075837998982
2020__2020-08-02,S0_raw,high,0.0974187450010906
2020__2020-08-07,S0_raw,low,0.6329200401180284
2020__2020-08-07,S0_raw,mid,0.269444888585258
2020__2020-08-07,S0_raw,high,0.0976350712967135
2020__2020-08-08,S0_raw,low,0.6331886000699383
2020__2020-08-08,S0_raw,mid,0.269276722228698
2020__2020-08-08,S0_raw,high,0.0975346777013638
2020__2020-08-12,S0_raw,low,0.6329961926352196
2020__2020-08-12,S0_raw,mid,0.269334728398291
2020__2020-08-12,S0_raw,high,0.0976690789664893
2020__2020-08-16,S0_raw,low,0.633477484391835
2020__2020-08-16,S0_raw,mid,0.2699659055687571
2020__2020-08-16,S0_raw,high,0.0965566100394078
2020__2020-08-22,S0_raw,low,0.633557457212714
2020__2020-08-22,S0_raw,mid,0.2688467807660962
2020__2020-08-22,S0_raw,high,0.0975957620211899
2020__2020-08-26,S0_raw,low,0.6329165455074149
2020__2020-08-26,S0_raw,mid,0.2694824076766502
2020__2020-08-26,S0_raw,high,0.0976010468159348
2020__2020-08-30,S0_raw,low,0.6322483548263346
2020__2020-08-30,S0_raw,mid,0.2700888246230117
2020__2020-08-30,S0_raw,high,0.0976628205506536
2020__2020-09-05,S0_raw,low,0.6335147880763856
2020__2020-09-05,S0_raw,mid,0.2691691895668374
2020__2020-09-05,S0_raw,high,0.0973160223567769
2020__2020-09-12,S0_raw,low,0.6326640398958985
2020__2020-09-12,S0_raw,mid,0.2699806627022783
2020__2020-09-12,S0_raw,high,0.0973552974018232
2020__2020-09-26,S0_raw,low,0.6324872063270528
2020__2020-09-26,S0_raw,mid,0.2694667364503373
2020__2020-09-26,S0_raw,high,0.0980460572226099
2020__2020-09-27,S0_raw,low,0.6331583004843707
2020__2020-09-27,S0_raw,mid,0.2694148278520414
2020__2020-09-27,S0_raw,high,0.0974268716635878
2020__2020-10-04,S0_raw,low,0.6333629258779526
2020__2020-10-04,S0_raw,mid,0.2692436436669529
2020__2020-10-04,S0_raw,high,0.0973934304550945
2020__2020-10-18,S0_raw,low,0.6331491222885514
2020__2020-10-18,S0_raw,mid,0.2694603699982268
2020__2020-10-18,S0_raw,high,0.0973905077132218
2020__2020-11-01,S0_raw,low,0.6321901758212607
2020__2020-11-01,S0_raw,mid,0.2696417254948197
2020__2020-11-01,S0_raw,high,0.0981680986839196
2020__2020-11-07,S0_raw,low,0.6329419072408897
2020__2020-11-07,S0_raw,mid,0.2694776384287742
2020__2020-11-07,S0_raw,high,0.097580454330336
2020__2020-12-06,S0_raw,low,0.6325803494870051
2020__2020-12-06,S0_raw,mid,0.2699654061086307
2020__2020-12-06,S0_raw,high,0.0974542444043641
2021__2021-05-22,S0_raw,low,0.6336337222164865
2021__2021-05-22,S0_raw,mid,0.2689635846078966
2021__2021-05-22,S0_raw,high,0.0974026931756168
2021__2021-05-29,S0_raw,low,0.6332042909069417
2021__2021-05-29,S0_raw,mid,0.2691273382783179
2021__2021-05-29,S0_raw,high,0.0976683708147403
2021__2021-06-05,S0_raw,low,0.6328086970631186
2021__2021-06-05,S0_raw,mid,0.2701163836974319
2021__2021-06-05,S0_raw,high,0.0970749192394495
2021__2021-06-22,S0_raw,low,0.632890783416959
2021__2021-06-22,S0_raw,mid,0.2693634089664461
2021__2021-06-22,S0_raw,high,0.0977458076165948
2021__2021-06-26,S0_raw,low,0.63306692288655
2021__2021-06-26,S0_raw,mid,0.2695258476365172
2021__2021-06-26,S0_raw,high,0.0974072294769329
2021__2021-06-30,S0_raw,low,0.6330040897078147
2021__2021-06-30,S0_raw,mid,0.2693153799589552
2021__2021-06-30,S0_raw,high,0.0976805303332299
2021__2021-07-04,S0_raw,low,0.6334328622952758
2021__2021-07-04,S0_raw,mid,0.2695855259268018
2021__2021-07-04,S0_raw,high,0.0969816117779223
2021__2021-07-10,S0_raw,low,0.6341900599955559
2021__2021-07-10,S0_raw,mid,0.268898600103696
2021__2021-07-10,S0_raw,high,0.096911339900748
2021__2021-07-17,S0_raw,low,0.6334075334991925
2021__2021-07-17,S0_raw,mid,0.2690556210262901
2021__2021-07-17,S0_raw,high,0.0975368454745173
2021__2021-08-07,S0_raw,low,0.6322306739784186
2021__2021-08-07,S0_raw,mid,0.269753523203019
2021__2021-08-07,S0_raw,high,0.0980158028185624
2021__2021-08-14,S0_raw,low,0.6326618151698024
2021__2021-08-14,S0_raw,mid,0.2695982723937996
2021__2021-08-14,S0_raw,high,0.097739912436398
2021__2021-08-28,S0_raw,low,0.6333173279788147
2021__2021-08-28,S0_raw,mid,0.2694574184818193
2021__2021-08-28,S0_raw,high,0.0972252535393659
2021__2021-09-04,S0_raw,low,0.6341983331606295
2021__2021-09-04,S0_raw,mid,0.2684706822790993
2021__2021-09-04,S0_raw,high,0.0973309845602712
2021__2021-09-25,S0_raw,low,0.6323621303494877
2021__2021-09-25,S0_raw,mid,0.2695923853810942
2021__2021-09-25,S0_raw,high,0.098045484269418
2021__2021-09-26,S0_raw,low,0.6331926658905704
2021__2021-09-26,S0_raw,mid,0.2693102444703143
2021__2021-09-26,S0_raw,high,0.0974970896391152
2021__2021-10-09,S0_raw,low,0.6333214825348857
2021__2021-10-09,S0_raw,mid,0.2696056646816579
2021__2021-10-09,S0_raw,high,0.0970728527834562
2021__2021-10-13,S0_raw,low,0.6331605614116825
2021__2021-10-13,S0_raw,mid,0.2693786034593209
2021__2021-10-13,S0_raw,high,0.0974608351289965
2021__2021-10-16,S0_raw,low,0.6333304231418427
2021__2021-10-16,S0_raw,mid,0.2694400791572085
2021__2021-10-16,S0_raw,high,0.0972294977009487
2021__2021-10-17,S0_raw,low,0.6326109391124871
2021__2021-10-17,S0_raw,mid,0.2696260120059884
2021__2021-10-17,S0_raw,high,0.0977630488815244
2021__2021-11-07,S0_raw,low,0.6327826253857171
2021__2021-11-07,S0_raw,mid,0.2696549585861718
2021__2021-11-07,S0_raw,high,0.0975624160281112
2021__2021-11-13,S0_raw,low,0.6330574366691748
2021__2021-11-13,S0_raw,mid,0.2695082547691763
2021__2021-11-13,S0_raw,high,0.0974343085616488
