physical_fixture_id,date,season,home_team,away_team,recorded_teams,held_out_team_match_records,number_of_training_fixtures,number_held_out_runs,number_held_out_intervals,number_held_out_terminations
2020__2020-07-03,2020-07-03,2020,,,rosenborg,2,46,1187,5398,1185
2020__2020-07-04,2020-07-04,2020,,,vålerenga,2,46,1034,5394,1032
2020__2020-07-10,2020-07-10,2020,,,vålerenga,2,46,1008,5398,1006
2020__2020-07-11,2020-07-11,2020,,,rosenborg,2,46,1097,5398,1095
2020__2020-07-18,2020-07-18,2020,,,vålerenga,2,46,1036,5398,1034
2020__2020-07-19,2020-07-19,2020,,,rosenborg,2,46,922,5398,920
2020__2020-07-24,2020-07-24,2020,,,vålerenga,2,46,1121,5258,1119
2020__2020-07-25,2020-07-25,2020,,,rosenborg,2,46,1004,5398,1002
2020__2020-08-01,2020-08-01,2020,,,vålerenga,2,46,1087,5398,1085
2020__2020-08-02,2020-08-02,2020,,,rosenborg,2,46,1037,5398,1035
2020__2020-08-07,2020-08-07,2020,,,vålerenga,2,46,1005,5398,1003
2020__2020-08-08,2020-08-08,2020,,,rosenborg,2,46,1170,5380,1168
2020__2020-08-12,2020-08-12,2020,,,vålerenga,2,46,988,5161,986
2020__2020-08-16,2020-08-16,2020,,,"rosenborg,vålerenga",4,46,2049,10796,2045
2020__2020-08-22,2020-08-22,2020,,,rosenborg,2,46,1090,5398,1088
2020__2020-08-26,2020-08-26,2020,,,rosenborg,2,46,1022,5398,1020
2020__2020-08-30,2020-08-30,2020,,,"rosenborg,vålerenga",4,46,2028,10796,2024
2020__2020-09-05,2020-09-05,2020,,,vålerenga,2,46,1098,5373,1096
2020__2020-09-12,2020-09-12,2020,,,rosenborg,2,46,1023,5398,1021
2020__2020-09-26,2020-09-26,2020,,,rosenborg,2,46,1018,5398,1016
2020__2020-09-27,2020-09-27,2020,,,vålerenga,2,46,1053,5398,1051
2020__2020-10-04,2020-10-04,2020,,,rosenborg,2,46,1091,5398,1089
2020__2020-10-18,2020-10-18,2020,,,"rosenborg,vålerenga",4,46,2126,10796,2122
2020__2020-11-01,2020-11-01,2020,,,"rosenborg,vålerenga",4,46,1949,10796,1945
2020__2020-11-07,2020-11-07,2020,,,"rosenborg,vålerenga",4,46,2186,10796,2182
2020__2020-12-06,2020-12-06,2020,,,"rosenborg,vålerenga",4,46,2160,10796,2156
2021__2021-05-22,2021-05-22,2021,,,"rosenborg,vålerenga",4,46,2001,10796,1997
2021__2021-05-29,2021-05-29,2021,,,"rosenborg,vålerenga",4,46,2124,10721,2120
2021__2021-06-05,2021-06-05,2021,,,"rosenborg,vålerenga",4,46,2009,10580,2005
2021__2021-06-22,2021-06-22,2021,,,"rosenborg,vålerenga",4,46,2239,10796,2235
2021__2021-06-26,2021-06-26,2021,,,vålerenga,2,46,1111,5398,1109
2021__2021-06-30,2021-06-30,2021,,,"rosenborg,vålerenga",4,46,2071,10796,2067
2021__2021-07-04,2021-07-04,2021,,,"rosenborg,vålerenga",4,46,2150,10796,2146
2021__2021-07-10,2021-07-10,2021,,,"rosenborg,vålerenga",4,46,2297,10610,2293
2021__2021-07-17,2021-07-17,2021,,,rosenborg,2,46,1069,5398,1067
2021__2021-08-07,2021-08-07,2021,,,"rosenborg,vålerenga",4,46,1966,10788,1962
2021__2021-08-14,2021-08-14,2021,,,"rosenborg,vålerenga",4,46,2194,10796,2190
2021__2021-08-28,2021-08-28,2021,,,vålerenga,2,46,1075,5398,1073
2021__2021-09-04,2021-09-04,2021,,,"rosenborg,vålerenga",4,46,2249,10796,2245
2021__2021-09-25,2021-09-25,2021,,,rosenborg,2,46,987,5398,985
2021__2021-09-26,2021-09-26,2021,,,vålerenga,2,46,1082,5398,1080
2021__2021-10-09,2021-10-09,2021,,,"rosenborg,vålerenga",4,46,2296,10796,2292
2021__2021-10-13,2021-10-13,2021,,,rosenborg,2,46,1118,5398,1116
2021__2021-10-16,2021-10-16,2021,,,rosenborg,2,46,1078,5398,1076
2021__2021-10-17,2021-10-17,2021,,,vålerenga,2,46,1003,5398,1001
2021__2021-11-07,2021-11-07,2021,,,"rosenborg,vålerenga",4,46,2071,10785,2067
2021__2021-11-13,2021-11-13,2021,,,"rosenborg,vålerenga",4,46,2023,10778,2019
