heldout_physical_match_id,state_definition,hazard_model,log_likelihood_train,n_fit_intervals,n_fit_deaths,optimizer_success,optimizer_message,mu,a0,phi_low,phi_mid,phi_high,q,tc,tau_q
2020__2020-07-03,S0_raw,age_only,-163302.62659807323,347445,68110,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3322281335952797,2.5532817233254104,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-07-03,S0_raw,age_order,-161541.60201812428,347445,68110,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.918874154175116,4.790070155495016,1.3064867528133348,1.0,0.6689546673891393,0.0,25.0,5.0
2020__2020-07-03,S0_raw,full,-161067.03238988027,347445,68110,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.918874154175116,4.790070155495016,1.3064867528133348,1.0,0.6689546673891393,0.1038436159416504,20.0,4.999999999999999
2020__2020-07-04,S0_raw,age_only,-163464.04476314326,347432,68263,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3313429701852164,2.542466915596855,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-07-04,S0_raw,age_order,-161682.95213989713,347432,68263,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9227457986452636,4.781702235407876,1.3055682070723962,1.0,0.6660560959754163,0.0,25.0,5.0
2020__2020-07-04,S0_raw,full,-161211.35794582995,347432,68263,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.9227457986452636,4.781702235407876,1.3055682070723962,1.0,0.6660560959754163,0.103269594402468,20.0,4.999999999999999
2020__2020-07-10,S0_raw,age_only,-163504.23818694093,347452,68292,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3297160796537932,2.535411375419736,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-07-10,S0_raw,age_order,-161738.44620348,347452,68292,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9121362150221897,4.75838075658146,1.309297952257355,1.0,0.670420095966494,0.0,25.0,5.0
2020__2020-07-10,S0_raw,full,-161258.59704233726,347452,68292,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.9121362150221897,4.75838075658146,1.309297952257355,1.0,0.670420095966494,0.1046788567324109,20.0,4.999999999999999
2020__2020-07-11,S0_raw,age_only,-163370.8054477449,347404,68199,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3295331053240076,2.5386623634469774,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-07-11,S0_raw,age_order,-161595.58238375554,347404,68199,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9183787622852269,4.779391896581129,1.30775552774579,1.0,0.6675934993879239,0.0,25.0,5.0
2020__2020-07-11,S0_raw,full,-161121.63080771928,347404,68199,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.9183787622852269,4.779391896581129,1.30775552774579,1.0,0.6675934993879239,0.1038778299148223,20.0,4.999999999999999
2020__2020-07-18,S0_raw,age_only,-163409.8645932899,347407,68260,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3282635727267749,2.53040224382556,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-07-18,S0_raw,age_order,-161648.4245049694,347407,68260,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.909676811748924,4.741747173346904,1.3071126557415025,1.0,0.6694886344786151,0.0,25.0,5.0
2020__2020-07-18,S0_raw,full,-161169.50546370985,347407,68260,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.909676811748924,4.741747173346904,1.3071126557415025,1.0,0.6694886344786151,0.103985755119642,20.0,4.999999999999999
