heldout_physical_match_id,transition_kind,age_band,from_state,to_state,probability,train_count,alpha
2020__2020-07-03,stationary,0-5,low,low,0.6820426166467097,,0.0
2020__2020-07-03,stationary,0-5,low,mid,0.2747268332512769,,0.0
2020__2020-07-03,stationary,0-5,low,high,0.0432305501020133,,0.0
2020__2020-07-03,stationary,0-5,mid,low,0.1575418835963078,,0.0
2020__2020-07-03,stationary,0-5,mid,mid,0.5978394782698099,,0.0
2020__2020-07-03,stationary,0-5,mid,high,0.2446186381338821,,0.0
2020__2020-07-03,stationary,0-5,high,low,0.0111747493737379,,0.0
2020__2020-07-03,stationary,0-5,high,mid,0.1814338202551036,,0.0
2020__2020-07-03,stationary,0-5,high,high,0.8073914303711585,,0.0
2020__2020-07-03,stationary,5-10,low,low,0.6820426166467097,,0.0
2020__2020-07-03,stationary,5-10,low,mid,0.2747268332512769,,0.0
2020__2020-07-03,stationary,5-10,low,high,0.0432305501020133,,0.0
2020__2020-07-03,stationary,5-10,mid,low,0.1575418835963078,,0.0
2020__2020-07-03,stationary,5-10,mid,mid,0.5978394782698099,,0.0
2020__2020-07-03,stationary,5-10,mid,high,0.2446186381338821,,0.0
2020__2020-07-03,stationary,5-10,high,low,0.0111747493737379,,0.0
2020__2020-07-03,stationary,5-10,high,mid,0.1814338202551036,,0.0
2020__2020-07-03,stationary,5-10,high,high,0.8073914303711585,,0.0
2020__2020-07-03,stationary,10-20,low,low,0.6820426166467097,,0.0
2020__2020-07-03,stationary,10-20,low,mid,0.2747268332512769,,0.0
2020__2020-07-03,stationary,10-20,low,high,0.0432305501020133,,0.0
2020__2020-07-03,stationary,10-20,mid,low,0.1575418835963078,,0.0
2020__2020-07-03,stationary,10-20,mid,mid,0.5978394782698099,,0.0
2020__2020-07-03,stationary,10-20,mid,high,0.2446186381338821,,0.0
2020__2020-07-03,stationary,10-20,high,low,0.0111747493737379,,0.0
2020__2020-07-03,stationary,10-20,high,mid,0.1814338202551036,,0.0
2020__2020-07-03,stationary,10-20,high,high,0.8073914303711585,,0.0
2020__2020-07-03,stationary,20-35,low,low,0.6820426166467097,,0.0
2020__2020-07-03,stationary,20-35,low,mid,0.2747268332512769,,0.0
2020__2020-07-03,stationary,20-35,low,high,0.0432305501020133,,0.0
2020__2020-07-03,stationary,20-35,mid,low,0.1575418835963078,,0.0
2020__2020-07-03,stationary,20-35,mid,mid,0.5978394782698099,,0.0
2020__2020-07-03,stationary,20-35,mid,high,0.2446186381338821,,0.0
2020__2020-07-03,stationary,20-35,high,low,0.0111747493737379,,0.0
2020__2020-07-03,stationary,20-35,high,mid,0.1814338202551036,,0.0
2020__2020-07-03,stationary,20-35,high,high,0.8073914303711585,,0.0
2020__2020-07-03,age_banded,0-5,low,low,0.6378289414837475,35654.0,0.0
2020__2020-07-03,age_banded,0-5,low,mid,0.3042272670351885,17006.0,0.0
2020__2020-07-03,age_banded,0-5,low,high,0.057943791481064,3239.0,0.0
2020__2020-07-03,age_banded,0-5,mid,low,0.1390186168511291,6519.0,0.0
2020__2020-07-03,age_banded,0-5,mid,mid,0.5553707376367475,26043.0,0.0
2020__2020-07-03,age_banded,0-5,mid,high,0.3056106455121233,14331.0,0.0
2020__2020-07-03,age_banded,0-5,high,low,0.0137832090794968,538.0,0.0
2020__2020-07-03,age_banded,0-5,high,mid,0.1628109548330899,6355.0,0.0
2020__2020-07-03,age_banded,0-5,high,high,0.8234058360874132,32140.0,0.0
2020__2020-07-03,age_banded,5-10,low,low,0.7530644316396019,7188.0,0.0
2020__2020-07-03,age_banded,5-10,low,mid,0.2304871660555264,2200.0,0.0
2020__2020-07-03,age_banded,5-10,low,high,0.0164484023048716,157.0,0.0
2020__2020-07-03,age_banded,5-10,mid,low,0.1525676241910703,3277.0,0.0
2020__2020-07-03,age_banded,5-10,mid,mid,0.6394152427952884,13734.0,0.0
2020__2020-07-03,age_banded,5-10,mid,high,0.2080171330136412,4468.0,0.0
2020__2020-07-03,age_banded,5-10,high,low,0.0077950055273675,275.0,0.0
2020__2020-07-03,age_banded,5-10,high,mid,0.1770458346325009,6246.0,0.0
2020__2020-07-03,age_banded,5-10,high,high,0.8151591598401315,28758.0,0.0
2020__2020-07-03,age_banded,10-20,low,low,0.7804181633968869,8473.0,0.0
2020__2020-07-03,age_banded,10-20,low,mid,0.2093580178686561,2273.0,0.0
2020__2020-07-03,age_banded,10-20,low,high,0.010223818734457,111.0,0.0
2020__2020-07-03,age_banded,10-20,mid,low,0.1817846801789944,3453.0,0.0
2020__2020-07-03,age_banded,10-20,mid,mid,0.6476441168728613,12302.0,0.0
2020__2020-07-03,age_banded,10-20,mid,high,0.1705712029481442,3240.0,0.0
2020__2020-07-03,age_banded,10-20,high,low,0.0101857136585151,232.0,0.0
2020__2020-07-03,age_banded,10-20,high,mid,0.2058216622030996,4688.0,0.0
2020__2020-07-03,age_banded,10-20,high,high,0.7839926241383852,17857.0,0.0
2020__2020-07-03,age_banded,20-35,low,low,0.8038261453263971,4790.0,0.0
2020__2020-07-03,age_banded,20-35,low,mid,0.1879509984896794,1120.0,0.0
2020__2020-07-03,age_banded,20-35,low,high,0.0082228561839234,49.0,0.0
2020__2020-07-03,age_banded,20-35,mid,low,0.2349316098000901,1563.0,0.0
2020__2020-07-03,age_banded,20-35,mid,mid,0.6207725837967835,4130.0,0.0
2020__2020-07-03,age_banded,20-35,mid,high,0.1442958064031264,960.0,0.0
2020__2020-07-03,age_banded,20-35,high,low,0.0179917751884852,105.0,0.0
2020__2020-07-03,age_banded,20-35,high,mid,0.2373200822481151,1385.0,0.0
2020__2020-07-03,age_banded,20-35,high,high,0.7446881425633995,4346.0,0.0
2020__2020-07-04,stationary,0-5,low,low,0.6816550739277984,,0.0
2020__2020-07-04,stationary,0-5,low,mid,0.2748564346293265,,0.0
2020__2020-07-04,stationary,0-5,low,high,0.043488491442875,,0.0
2020__2020-07-04,stationary,0-5,mid,low,0.1575656604905086,,0.0
2020__2020-07-04,stationary,0-5,mid,mid,0.5974798578472337,,0.0
2020__2020-07-04,stationary,0-5,mid,high,0.2449544816622576,,0.0
2020__2020-07-04,stationary,0-5,high,low,0.0112216927901716,,0.0
2020__2020-07-04,stationary,0-5,high,mid,0.1817570991656993,,0.0
2020__2020-07-04,stationary,0-5,high,high,0.8070212080441291,,0.0
2020__2020-07-04,stationary,5-10,low,low,0.6816550739277984,,0.0
2020__2020-07-04,stationary,5-10,low,mid,0.2748564346293265,,0.0
2020__2020-07-04,stationary,5-10,low,high,0.043488491442875,,0.0
2020__2020-07-04,stationary,5-10,mid,low,0.1575656604905086,,0.0
2020__2020-07-04,stationary,5-10,mid,mid,0.5974798578472337,,0.0
2020__2020-07-04,stationary,5-10,mid,high,0.2449544816622576,,0.0
2020__2020-07-04,stationary,5-10,high,low,0.0112216927901716,,0.0
2020__2020-07-04,stationary,5-10,high,mid,0.1817570991656993,,0.0
2020__2020-07-04,stationary,5-10,high,high,0.8070212080441291,,0.0
2020__2020-07-04,stationary,10-20,low,low,0.6816550739277984,,0.0
2020__2020-07-04,stationary,10-20,low,mid,0.2748564346293265,,0.0
2020__2020-07-04,stationary,10-20,low,high,0.043488491442875,,0.0
2020__2020-07-04,stationary,10-20,mid,low,0.1575656604905086,,0.0
2020__2020-07-04,stationary,10-20,mid,mid,0.5974798578472337,,0.0
2020__2020-07-04,stationary,10-20,mid,high,0.2449544816622576,,0.0
2020__2020-07-04,stationary,10-20,high,low,0.0112216927901716,,0.0
2020__2020-07-04,stationary,10-20,high,mid,0.1817570991656993,,0.0
2020__2020-07-04,stationary,10-20,high,high,0.8070212080441291,,0.0
2020__2020-07-04,stationary,20-35,low,low,0.6816550739277984,,0.0
2020__2020-07-04,stationary,20-35,low,mid,0.2748564346293265,,0.0
2020__2020-07-04,stationary,20-35,low,high,0.043488491442875,,0.0
