track_type,k,tau_s,weighted_msd,n_pairs,n_entities,msd_m2
centroid,1,1.0,230413.2511456736,89932,34,2.5620830310198106
centroid,2,2.0,880094.2216251614,89897,34,9.790028828828119
centroid,3,3.0,1880842.3461255564,89862,34,20.930341480554144
centroid,4,4.0,3156432.5325104776,89827,34,35.13901758391661
centroid,5,5.0,4636313.773379166,89792,34,51.633929229543455
centroid,6,6.0,6259974.80677628,89757,34,69.74358330577314
centroid,7,7.0,7978096.492129698,89722,34,88.9201811387363
centroid,8,8.0,9752191.298536966,89687,34,108.73584018349332
centroid,9,9.0,11552840.552149108,89652,34,128.86316593214994
centroid,10,10.0,13358755.119491981,89617,34,149.06496668591876
centroid,11,11.0,15154554.721169675,89582,34,169.1696403425875
centroid,12,12.0,16929619.99831057,89547,34,189.05848323573733
centroid,13,13.0,18676860.506450478,89512,34,208.65202996749574
centroid,14,14.0,20391675.1809218,89477,34,227.8985122536719
centroid,15,15.0,22071030.03242633,89442,34,246.76360135536248
centroid,16,16.0,23712796.146311555,89407,34,265.2230378640549
centroid,17,17.0,25315793.92673596,89372,34,283.2631464746896
centroid,18,18.0,26879057.610292926,89337,34,300.87262400005517
centroid,19,19.0,28402188.376200356,89302,34,318.0464981321847
centroid,20,20.0,29884376.239441667,89267,34,334.77518276005316
centroid,21,21.0,31324933.36888887,89232,34,351.0504456796762
centroid,22,22.0,32723518.48780716,89197,34,366.86792703574287
centroid,23,23.0,34079998.38652569,89162,34,382.2255937117347
centroid,24,24.0,35394269.262724556,89127,34,397.1217393463771
centroid,25,25.0,36666269.55371356,89092,34,411.5551290094909
centroid,26,26.0,37896114.58772155,89057,34,425.5265120958661
centroid,27,27.0,39083919.15831537,89022,34,439.0366331728715
centroid,28,28.0,40230078.64642307,88987,34,452.0893911068254
centroid,29,29.0,41335511.47025095,88952,34,464.69457089498775
centroid,30,30.0,42401572.58277402,88917,34,476.86688240464724
centroid,31,31.0,43430026.85661517,88882,34,488.6256706263942
centroid,32,32.0,44422787.06010842,88847,34,499.99197564474235
centroid,33,33.0,45382399.97360522,88812,34,510.9940095212947
centroid,34,34.0,46311687.84651596,88777,34,521.6631317403828
centroid,35,35.0,47212430.197684735,88742,34,532.0190011233095
centroid,36,36.0,48085801.83155989,88707,34,542.0744905312985
centroid,37,37.0,48932784.29284733,88672,34,551.8403136598625
centroid,38,38.0,49754162.18953845,88637,34,561.3249792923773
centroid,39,39.0,50550572.912218094,88602,34,570.5353480984413
centroid,40,40.0,51322107.628817685,88567,34,579.4721242541543
centroid,41,41.0,52068448.96071859,88532,34,588.1313983725499
centroid,42,42.0,52789318.41248203,88497,34,596.5096942549694
centroid,43,43.0,53484666.27504347,88462,34,604.6061164685794
centroid,44,44.0,54154184.379850775,88427,34,612.4168453057412
centroid,45,45.0,54798200.50608464,88392,34,619.9452496389339
centroid,46,46.0,55416046.36168342,88357,34,627.1834304207184
centroid,47,47.0,56007751.71542675,88322,34,634.1313796724118
centroid,48,48.0,56573454.898891926,88287,34,640.7903190604724
centroid,49,49.0,57113748.68660399,88252,34,647.1666215678284
centroid,50,50.0,57629180.5399434,88217,34,653.2661566358344
centroid,51,51.0,58120146.54817276,88182,34,659.0930864368324
centroid,52,52.0,58587156.8015986,88147,34,664.6528730597593
centroid,53,53.0,59031407.69819502,88112,34,669.9587763096403
centroid,54,54.0,59454277.76612941,88077,34,675.02614492012
centroid,55,55.0,59857390.59182459,88042,34,679.8731354560845
centroid,56,56.0,60242208.96648892,88007,34,684.5161062925554
centroid,57,57.0,60609804.36037899,87972,34,688.9669935931772
centroid,58,58.0,60960718.11146322,87937,34,693.2317239781119
centroid,59,59.0,61295500.37439658,87902,34,697.3163338080656
centroid,60,60.0,61615083.43514339,87867,34,701.2312180357061
