track_type,k,tau_s,msd_m2,ci_low,ci_high,n_bootstrap,bootstrap_unit
centroid,1,1.0,2.5620830310198106,2.445965427839316,2.7006384457896786,200,match_id+match_phase+team+source_key
centroid,2,2.0,9.790028828828119,9.327277168553522,10.345815657838921,200,match_id+match_phase+team+source_key
centroid,3,3.0,20.930341480554144,19.91308145615566,22.1411559604519,200,match_id+match_phase+team+source_key
centroid,4,4.0,35.13901758391661,33.41738540030412,37.20305600819428,200,match_id+match_phase+team+source_key
centroid,5,5.0,51.633929229543455,49.10043489407051,54.695802250320796,200,match_id+match_phase+team+source_key
centroid,6,6.0,69.74358330577314,66.32827416850257,73.92219460209373,200,match_id+match_phase+team+source_key
centroid,7,7.0,88.9201811387363,84.5830965321418,94.28200380382336,200,match_id+match_phase+team+source_key
centroid,8,8.0,108.73584018349332,103.45957039451947,115.28521085084834,200,match_id+match_phase+team+source_key
centroid,9,9.0,128.86316593214994,122.52445219003548,136.63433426257416,200,match_id+match_phase+team+source_key
centroid,10,10.0,149.06496668591876,141.57057488665933,158.0604760926424,200,match_id+match_phase+team+source_key
centroid,11,11.0,169.1696403425875,160.51214601830824,179.37485156939678,200,match_id+match_phase+team+source_key
centroid,12,12.0,189.05848323573733,179.25205627550102,200.48721251626023,200,match_id+match_phase+team+source_key
centroid,13,13.0,208.65202996749574,197.72831850984034,221.51374142440628,200,match_id+match_phase+team+source_key
centroid,14,14.0,227.8985122536719,215.90445142192735,242.2808661942296,200,match_id+match_phase+team+source_key
centroid,15,15.0,246.76360135536248,233.7601825224438,262.6803164505807,200,match_id+match_phase+team+source_key
centroid,16,16.0,265.2230378640549,251.28350559088867,282.6788595703009,200,match_id+match_phase+team+source_key
centroid,17,17.0,283.2631464746896,268.1216590585702,302.25711529349144,200,match_id+match_phase+team+source_key
centroid,18,18.0,300.87262400005517,284.4189013136748,321.40525955052976,200,match_id+match_phase+team+source_key
centroid,19,19.0,318.0464981321847,300.2911142218483,340.0401795157919,200,match_id+match_phase+team+source_key
centroid,20,20.0,334.77518276005316,315.74131855972973,357.84449126355065,200,match_id+match_phase+team+source_key
centroid,21,21.0,351.0504456796762,330.77421154842216,375.1343994194835,200,match_id+match_phase+team+source_key
centroid,22,22.0,366.86792703574287,345.19242661550066,391.89958693835433,200,match_id+match_phase+team+source_key
centroid,23,23.0,382.2255937117347,359.0309820454328,408.1356144751736,200,match_id+match_phase+team+source_key
centroid,24,24.0,397.1217393463771,372.3802082204762,423.8432719131266,200,match_id+match_phase+team+source_key
centroid,25,25.0,411.5551290094909,385.8639215211652,439.0305055980541,200,match_id+match_phase+team+source_key
centroid,26,26.0,425.5265120958661,398.98068369420025,453.70275220079174,200,match_id+match_phase+team+source_key
centroid,27,27.0,439.0366331728715,411.6916550763971,467.86457997327204,200,match_id+match_phase+team+source_key
centroid,28,28.0,452.0893911068254,423.99876853730126,481.5106428807339,200,match_id+match_phase+team+source_key
centroid,29,29.0,464.69457089498775,435.90860751380916,494.65826800387885,200,match_id+match_phase+team+source_key
centroid,30,30.0,476.86688240464724,447.45162949547984,507.3197142891943,200,match_id+match_phase+team+source_key
centroid,31,31.0,488.6256706263942,458.6210519518696,519.6737728449278,200,match_id+match_phase+team+source_key
centroid,32,32.0,499.99197564474235,469.2332126936408,531.7440626042235,200,match_id+match_phase+team+source_key
centroid,33,33.0,510.9940095212947,479.41499214806805,543.3972812748584,200,match_id+match_phase+team+source_key
centroid,34,34.0,521.6631317403828,489.32917578875987,554.6674042350605,200,match_id+match_phase+team+source_key
centroid,35,35.0,532.0190011233095,498.99575108189003,565.5825620781451,200,match_id+match_phase+team+source_key
centroid,36,36.0,542.0744905312985,508.4191426201431,576.1646397186494,200,match_id+match_phase+team+source_key
centroid,37,37.0,551.8403136598625,517.6019119061796,586.8456737908626,200,match_id+match_phase+team+source_key
centroid,38,38.0,561.3249792923773,526.5455733440664,597.3980565541684,200,match_id+match_phase+team+source_key
centroid,39,39.0,570.5353480984413,535.2481008740567,607.7140958923501,200,match_id+match_phase+team+source_key
centroid,40,40.0,579.4721242541543,543.441343532755,617.7935820318145,200,match_id+match_phase+team+source_key
centroid,41,41.0,588.1313983725499,551.2069258778724,627.6287519204916,200,match_id+match_phase+team+source_key
centroid,42,42.0,596.5096942549694,558.7160275694341,637.204981165456,200,match_id+match_phase+team+source_key
