cluster,lag_s,sum_player,sum_centroid,sum_relative,sum_cross,n_pairs
2020-07-03__1H__rosenborg__A,1.0,140246.58434102553,80755.74135871249,63973.027176095326,-4482.18419378228,32898
2020-07-03__1H__rosenborg__A,2.0,522851.6262603426,306117.89059105096,225001.9896288914,-8268.253959599782,32877
2020-07-03__1H__rosenborg__A,3.0,1084368.9529890113,649586.517759405,446480.0898482888,-11697.65461868235,32858
2020-07-03__1H__rosenborg__A,4.0,1768080.198292158,1081975.2096293706,702024.2153585262,-15919.226695739228,32839
2020-07-03__1H__rosenborg__A,5.0,2529222.031181803,1575356.3414739647,973399.4798556312,-19533.790147793632,32820
2020-07-03__1H__rosenborg__A,6.0,3334026.9779108386,2106704.9786618883,1249712.7178860866,-22390.71863713509,32801
2020-07-03__1H__rosenborg__A,7.0,4157811.607260219,2657941.728020417,1524409.8293358034,-24539.950096001685,32782
2020-07-03__1H__rosenborg__A,8.0,4982866.800269157,3215772.6269289046,1792946.6495166628,-25852.47617641108,32763
2020-07-03__1H__rosenborg__A,9.0,5797316.27702715,3771327.105687199,2052202.3920472062,-26213.22070725461,32744
2020-07-03__1H__rosenborg__A,10.0,6595470.991322241,4319428.623042635,2301181.3911692817,-25139.02288967673,32725
2020-07-03__1H__rosenborg__A,11.0,7375045.780217206,4858035.33333109,2539541.32631927,-22530.87943315452,32706
2020-07-03__1H__rosenborg__A,12.0,8136951.305232413,5387259.180253642,2768272.4003251093,-18580.275346337963,32687
2020-07-03__1H__rosenborg__A,13.0,8883322.310263779,5908222.220528291,2988776.5713455635,-13676.48161007378,32668
2020-07-03__1H__rosenborg__A,14.0,9615833.30867934,6422177.59548642,3201523.14277766,-7867.429584741811,32649
2020-07-03__1H__rosenborg__A,15.0,10335893.473565226,6930286.40335433,3407593.277463467,-1986.2072525699623,32630
2020-07-03__1H__rosenborg__A,16.0,11043845.106020128,7433140.76548775,3606993.135533367,3711.2049990145897,32611
2020-07-03__1H__rosenborg__A,17.0,11739677.655514788,7930580.06215683,3799636.710048934,9460.883309022407,32592
2020-07-03__1H__rosenborg__A,18.0,12423795.43741513,8422675.009893987,3985933.828650451,15186.598870694259,32573
2020-07-03__1H__rosenborg__A,19.0,13097249.058736876,8909812.354989175,4166574.590284245,20862.113463456393,32554
2020-07-03__1H__rosenborg__A,20.0,13760882.828956833,9391862.697437793,4342034.660913802,26985.470605237177,32535
2020-07-03__1H__rosenborg__A,21.0,14415249.128677636,9868923.465120975,4512889.503136567,33436.16042009031,32516
2020-07-03__1H__rosenborg__A,22.0,15060464.26465074,10340744.919313204,4679244.649132214,40474.69620532493,32497
2020-07-03__1H__rosenborg__A,23.0,15696702.99894612,10807206.930355016,4841353.443432217,48142.62515888302,32478
2020-07-03__1H__rosenborg__A,24.0,16324257.584841205,11268393.799634919,4999315.064483027,56548.720723258215,32459
2020-07-03__1H__rosenborg__A,25.0,16943583.951030497,11724933.543253822,5153036.625755296,65613.78202137779,32440
2020-07-03__1H__rosenborg__A,26.0,17554595.373306286,12177815.698115127,5301951.994345391,74827.68084576473,32421
2020-07-03__1H__rosenborg__A,27.0,18157043.71140415,12627640.00526465,5445487.1888873335,83916.51725216198,32402
2020-07-03__1H__rosenborg__A,28.0,18750613.11896859,13074394.521601524,5583433.260893867,92785.33647319881,32383
2020-07-03__1H__rosenborg__A,29.0,19334407.968748137,13517398.149630034,5715576.099251219,101433.71986688115,32364
2020-07-03__1H__rosenborg__A,30.0,19907197.94996168,13955741.536026258,5841707.205217863,109749.20871755839,32345
2020-07-03__1H__rosenborg__A,31.0,20468347.439636525,14387959.707264999,5962214.222204234,118173.5101672895,32326
2020-07-03__1H__rosenborg__A,32.0,21016755.896754596,14812155.550123248,6077809.871100966,126790.47553037893,32307
2020-07-03__1H__rosenborg__A,33.0,21551080.106937613,15226565.288331376,6189411.27935721,135103.53924902584,32288
2020-07-03__1H__rosenborg__A,34.0,22069978.493478198,15629124.718453644,6297069.491890398,143784.2831341579,32269
2020-07-03__1H__rosenborg__A,35.0,22571095.009665083,16017982.311054861,6400304.981739226,152807.71687099768,32250
2020-07-03__1H__rosenborg__A,36.0,23052296.17217369,16391514.38052193,6498820.524686217,161961.26696553518,32231
2020-07-03__1H__rosenborg__A,37.0,23512055.29764551,16748682.332168214,6592348.895393542,171024.0700837557,32212
2020-07-03__1H__rosenborg__A,38.0,23949298.18291172,17088711.396182228,6680460.974682567,180125.81204693456,32193
2020-07-03__1H__rosenborg__A,39.0,24363384.447050147,17411462.948714316,6762887.049252609,189034.44908322248,32174
2020-07-03__1H__rosenborg__A,40.0,24754774.654322013,17717272.371080827,6839755.197514946,197747.08572624618,32155
2020-07-03__1H__rosenborg__A,41.0,25123977.093104057,18006613.523149766,6911131.467756117,206232.10219817335,32136
2020-07-03__1H__rosenborg__A,42.0,25471630.128099486,18280100.206595063,6977274.304423311,214255.61708111374,32117
2020-07-03__1H__rosenborg__A,43.0,25798199.170510072,18538213.103453945,7038502.968714747,221483.0983413789,32098
2020-07-03__1H__rosenborg__A,44.0,26104260.75791948,18781498.116756678,7094944.308428965,227818.33273384284,32079
2020-07-03__1H__rosenborg__A,45.0,26390399.440057546,19010508.79303423,7146573.174633469,233317.47238984692,32060
2020-07-03__1H__rosenborg__A,46.0,26658788.48075627,19225823.552604225,7194793.368683981,238171.55946806498,32041
2020-07-03__1H__rosenborg__A,47.0,26910600.02111098,19428031.123022247,7239956.737801747,242612.16028698633,32022
2020-07-03__1H__rosenborg__A,48.0,27147466.7251561,19617905.792529184,7282705.946739863,246854.98588705028,32003
2020-07-03__1H__rosenborg__A,49.0,27370432.632121608,19796308.60896902,7323219.453115693,250904.57003688742,31984
2020-07-03__1H__rosenborg__A,50.0,27579292.24424181,19963521.126185194,7361027.481902369,254743.6361542499,31965
2020-07-03__1H__rosenborg__A,51.0,27772827.45036124,20119240.086884163,7395825.950553763,257761.4129233196,31946
2020-07-03__1H__rosenborg__A,52.0,27949549.274765138,20262349.14193534,7427395.934714591,259804.19811520155,31927
