panel,value_col,early_order_state,threshold,survival,n_surviving_at_threshold,n_runs,ci_low_95,ci_high_95,ci_type,bootstrap_B,bootstrap_n_clusters,bootstrap_cluster_cols
A. Duration survivor by order state,duration_s,Low,1.0,1.0,23151,23151,1.0,1.0,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,3.0,0.2526888687313723,5850,23151,0.2465724996947749,0.259152529180293,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,5.0,0.13221891063021035,3061,23151,0.12673217257871094,0.13760899793032844,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,7.0,0.08604379940391343,1992,23151,0.08154092814416536,0.09021166458864763,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,9.0,0.06220033691849164,1440,23151,0.05818337728780198,0.066163420480183,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,11.0,0.047557340935596736,1101,23151,0.04407390553793891,0.05109916030333854,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,13.0,0.03727700747267937,863,23151,0.034570731080602275,0.040123225803562874,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,15.0,0.029977106820439723,694,23151,0.02753085843995577,0.03247607803938954,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,17.0,0.02410263055591551,558,23151,0.022061443301116,0.026422684950375728,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,19.0,0.019221631894950544,445,23151,0.017629527880930324,0.021078412215313626,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,21.0,0.015420500194376054,357,23151,0.013876284689971118,0.017022823424698116,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,23.0,0.011576173815385945,268,23151,0.010213668461965798,0.012874932936537775,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,25.0,0.009502829251436223,220,23151,0.008349784239212206,0.010608075495478252,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,27.0,0.007602263401148978,176,23151,0.0065776314652798516,0.008554754715668323,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,29.0,0.005874476264524211,136,23151,0.005083235215368674,0.006774502262940733,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,31.0,0.0043194678415619196,100,23151,0.0036637019852500596,0.004998198633235909,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,33.0,0.003282795559587059,76,23151,0.0027333490242508673,0.0038893697843588705,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Low,35.0,0.0021165392423653407,49,23151,0.0015773034338158196,0.0026629499151292623,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,1.0,1.0,23150,23150,1.0,1.0,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,3.0,0.4790064794816415,11089,23150,0.46981487128058597,0.48844422488577394,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,5.0,0.33369330453563717,7725,23150,0.3241564420198519,0.3444238403841352,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,7.0,0.24790496760259179,5739,23150,0.2393896238175839,0.25687606496576704,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,9.0,0.1927429805615551,4462,23150,0.18479562833862762,0.20019394332412063,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,11.0,0.14833693304535636,3434,23150,0.14222752643442388,0.15455927517682733,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,13.0,0.11559395248380129,2676,23150,0.11031196364750313,0.1204730298423951,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,15.0,0.0898488120950324,2080,23150,0.0854696467949545,0.09409803956786393,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,17.0,0.07010799136069114,1623,23150,0.06607399102496947,0.07385250630895063,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,19.0,0.05727861771058315,1326,23150,0.05396290468116201,0.060788685941896445,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,21.0,0.045961123110151186,1064,23150,0.043069050810183036,0.04905295347318112,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,23.0,0.03688984881209503,854,23150,0.033936316989532284,0.039701418810101426,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,25.0,0.028639308855291576,663,23150,0.026182162036690968,0.031035444855260063,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,27.0,0.021943844492440606,508,23150,0.01981750010833367,0.023952327040298312,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,29.0,0.016673866090712742,386,23150,0.014770723659972259,0.018583070666059482,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,31.0,0.01265658747300216,293,23150,0.011001164236274261,0.01433746666803646,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,33.0,0.009546436285097193,221,23150,0.008204675394799346,0.010835938705801969,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,Mid,35.0,0.006997840172786177,162,23150,0.005686839410696958,0.008271498218265744,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,1.0,1.0,23151,23151,1.0,1.0,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,3.0,0.677638114984234,15688,23151,0.6707153191030778,0.6845278625943464,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,5.0,0.5354844283184311,12397,23151,0.527733930959281,0.543785656754783,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,7.0,0.41186125869292906,9535,23151,0.4034945898438082,0.4216987097960829,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,9.0,0.3094466761694959,7164,23151,0.30194777545299323,0.31846447559822894,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,11.0,0.23467668783205908,5433,23151,0.2264349541775561,0.24354032964134198,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,13.0,0.17783249103710422,4117,23151,0.17039433078665062,0.1855315152401014,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,15.0,0.13714310396959095,3175,23151,0.13086339670645541,0.14434240518822886,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,17.0,0.10772752796855427,2494,23151,0.10190368171617656,0.11431181569055056,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,19.0,0.08401364951837934,1945,23151,0.07836719313333643,0.09003767868527703,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,21.0,0.06582868990540365,1524,23151,0.06093240566559024,0.07144443371401117,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,23.0,0.05261111831022418,1218,23151,0.048541231666454916,0.05761568625066323,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,25.0,0.041639669992656905,964,23151,0.03785795099475607,0.0460378086844187,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,27.0,0.032611982203792494,755,23151,0.0296513053709616,0.03585479711603443,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,29.0,0.024016241199084274,556,23151,0.021602824198957343,0.026880470384567534,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,31.0,0.018012180899313203,417,23151,0.016076225572232424,0.020185344321550395,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,33.0,0.013303960952010712,308,23151,0.011488751691142662,0.015249400307000421,cluster_bootstrap_95,500,66,"season,match_id,team"
A. Duration survivor by order state,duration_s,High,35.0,0.01019394410608613,236,23151,0.008565542844124108,0.011811361414411824,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,1.0,0.21662131225433026,5015,23151,0.21004457761134618,0.22335123116105823,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,2.586195448022722,0.09882942421493672,2288,23151,0.09336199278120101,0.10377617973427236,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,4.172390896045444,0.0675132823636128,1563,23151,0.06351634981826319,0.07172658602964727,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,5.758586344068166,0.05261111831022418,1218,23151,0.04957223676351813,0.05588919165748043,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,7.344781792090888,0.04323787309403482,1001,23151,0.04057343177873827,0.04605265937865714,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,8.93097724011361,0.036585892618029456,847,23151,0.03422388309064554,0.03922991192699963,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,10.517172688136332,0.030841000388752107,714,23151,0.02845213358410356,0.033463409573225786,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,12.103368136159055,0.02643514319035895,612,23151,0.023942938649938576,0.029073445448650252,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,13.689563584181776,0.02319554230918751,537,23151,0.021150090790076917,0.025738059245109465,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,15.275759032204498,0.020603861604250356,477,23151,0.018691405482949213,0.022807416612934582,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,16.86195448022722,0.01818495961297568,421,23151,0.016326781551797592,0.020121633029526572,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,18.448149928249943,0.016413977797935294,380,23151,0.014703690751618042,0.018297915322249943,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,20.034345376272665,0.014988553410219861,347,23151,0.013407863136157567,0.016870885946275036,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,21.620540824295386,0.01291520884627014,299,23151,0.011310021015273784,0.014582786800998573,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,23.20673627231811,0.011964925921126517,277,23151,0.01041248260755189,0.013647991201748984,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,24.79293172034083,0.011057837674398514,256,23151,0.00953409567209224,0.012768443387409251,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,26.379127168363553,0.009977970714008034,231,23151,0.008595368475192655,0.011664229407518812,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,27.965322616386274,0.008941298432033173,207,23151,0.007737862702217406,0.010500206144507907,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,29.551518064408995,0.007904626150058313,183,23151,0.0067291873864265914,0.00932040505329885,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,31.13771351243172,0.006738369832836595,156,23151,0.005676540430962059,0.008014070906710162,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,32.72390896045444,0.0057880869076929724,134,23151,0.004898986889523661,0.006801308442152058,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,34.310104408477166,0.004967388017796208,115,23151,0.004147464305930285,0.00584102453449879,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,35.89629985649989,0.0043194678415619196,100,23151,0.0035085685427240507,0.005188211632150642,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,37.48249530452261,0.004017105092652585,93,23151,0.0032270897373244062,0.004875065731236447,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,39.06869075254533,0.0031964062027558205,74,23151,0.0025303421648787705,0.003951627798395221,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,40.65488620056805,0.0028940434538464862,67,23151,0.002242384118294672,0.00364735166880275,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,42.24108164859077,0.002418901991274675,56,23151,0.0018348346968457242,0.003072572293247556,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,43.82727709661349,0.0021165392423653407,49,23151,0.001561966376799695,0.0026844991633846976,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,45.41347254463622,0.001770981815040387,41,23151,0.0012386809253881596,0.0022838667978491477,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,46.99966799265894,0.0014686190661310527,34,23151,0.0009995275630842924,0.0019747857959386095,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,48.58586344068166,0.0012094509956373375,28,23151,0.0007173768673853489,0.0016680232816509149,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,50.172058888704385,0.001123061638806099,26,23151,0.0006745366580002395,0.0015612911816515506,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,51.758254336727106,0.0010366722819748608,24,23151,0.0006323781168752245,0.0014584857298610917,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Low,53.34444978474983,0.0009070882467280031,21,23151,0.0005363114664047202,0.0012778091284898604,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,1.0,0.5951619870410367,13778,23150,0.586562320052521,0.6047945157026393,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,2.586195448022722,0.40989200863930886,9489,23150,0.3993375053527681,0.4213720512865305,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,4.172390896045444,0.3228077753779698,7473,23150,0.3127716274803243,0.33371065560950364,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,5.758586344068166,0.27196544276457885,6296,23150,0.2625114105345092,0.2826811566198883,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,7.344781792090888,0.23585313174946004,5460,23150,0.2281964506295968,0.2448508211892379,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,8.93097724011361,0.2073002159827214,4799,23150,0.19971493840292254,0.21533381299878196,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,10.517172688136332,0.18423326133909287,4265,23150,0.17686393935059136,0.19191724277278654,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,12.103368136159055,0.1618574514038877,3747,23150,0.15519790957590454,0.1685488248736611,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,13.689563584181776,0.14289416846652267,3308,23150,0.13640432786211149,0.1500639467962655,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,15.275759032204498,0.12730021598272137,2947,23150,0.12182096990828661,0.13340398685384744,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,16.86195448022722,0.1147732181425486,2657,23150,0.1096233291650094,0.12030973292189232,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,18.448149928249943,0.10181425485961124,2357,23150,0.09732101206717736,0.10687835966850684,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,20.034345376272665,0.09075593952483801,2101,23150,0.08642833940529364,0.09558233413734978,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,21.620540824295386,0.0808207343412527,1871,23150,0.0768288858590655,0.08532796610092803,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,23.20673627231811,0.07196544276457884,1666,23150,0.0679529804554266,0.07621945888734633,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,24.79293172034083,0.06436285097192225,1490,23150,0.060417593426090516,0.06837605357315871,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,26.379127168363553,0.0575377969762419,1332,23150,0.05367709544108939,0.061810249160916764,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,27.965322616386274,0.049719222462203026,1151,23150,0.04629736619231467,0.053752636307677674,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,29.551518064408995,0.04466522678185745,1034,23150,0.04132671912747824,0.048476384808295074,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,31.13771351243172,0.039049676025917926,904,23150,0.03602858783043501,0.042646573933062794,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,32.72390896045444,0.033693304535637146,780,23150,0.0306284229061923,0.03697686655475614,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,34.310104408477166,0.028941684665226782,670,23150,0.026291814652345622,0.03148996033350397,cluster_bootstrap_95,500,66,"season,match_id,team"
