_age_bin,age_left_s,age_right_s,age_s,n_at_risk,n_terminated,empirical_estimate,ci_low,ci_high,age_only_baseline,age_order_model_probability,full_hazard_model,smooth_late_interval_probability,sparse_flag,fitted_flag,late_fit_support_flag,exclusion_reason,bootstrap_unit,n_bootstrap_replicates,uncertainty_type,pooled_or_crossfitted,fold_aggregation_rule,supported_range_indicator,state_definition,conditioning_statement,prediction_type,model_name,model_estimate,supported_age_range_s
0,0.0,1.0,0.5,69802,29165,0.4178247041632045,0.4124509653804649,0.42235984066474025,0.3687394927220274,0.3790095803540464,0.3790095803546673,1e-12,False,True,True,,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical/model,none; pooled descriptive panel,True,S0_raw,one-second termination probability among runs alive at interval start,pooled descriptive,age-only baseline; full hazard model,0.3790095803546673,0-35
1,1.0,2.0,1.5,40619,7842,0.19306235997932003,0.18821757447424683,0.19761676412771,0.2627321997244883,0.2710266800946054,0.2710266800953343,1e-12,False,True,True,,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical/model,none; pooled descriptive panel,True,S0_raw,one-second termination probability among runs alive at interval start,pooled descriptive,age-only baseline; full hazard model,0.2710266800953343,0-35
2,2.0,3.0,2.5,32760,5421,0.16547619047619047,0.15998111862351452,0.17104890814691046,0.2120147006090733,0.2023792509752677,0.2023792509760653,1e-12,False,True,True,,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical/model,none; pooled descriptive panel,True,S0_raw,one-second termination probability among runs alive at interval start,pooled descriptive,age-only baseline; full hazard model,0.2023792509760653,0-35
3,3.0,4.0,3.5,27323,4003,0.1465066061559858,0.14279661247477482,0.1503362457454547,0.1823457509472872,0.1682537884562935,0.1682537884571253,1e-12,False,True,True,,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical/model,none; pooled descriptive panel,True,S0_raw,one-second termination probability among runs alive at interval start,pooled descriptive,age-only baseline; full hazard model,0.1682537884571253,0-35
4,4.0,5.0,4.5,23311,3218,0.13804641585517566,0.13341900405089394,0.14252806321847664,0.1628865084280071,0.1489033685151248,0.1489033685159759,1e-12,False,True,True,,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical/model,none; pooled descriptive panel,True,S0_raw,one-second termination probability among runs alive at interval start,pooled descriptive,age-only baseline; full hazard model,0.1489033685159759,0-35
5,5.0,6.0,5.5,20089,2698,0.13430235452237543,0.12991236420911936,0.1389747873510356,0.1491440941952181,0.1368112827925747,0.1368112827934379,1e-12,False,True,True,,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical/model,none; pooled descriptive panel,True,S0_raw,one-second termination probability among runs alive at interval start,pooled descriptive,age-only baseline; full hazard model,0.1368112827934379,0-35
6,6.0,7.0,6.5,17386,2227,0.1280915679282181,0.12310502851021071,0.13342438123722675,0.1389231497041269,0.1286837063788653,0.1286837063797366,1e-12,False,True,True,,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical/model,none; pooled descriptive panel,True,S0_raw,one-second termination probability among runs alive at interval start,pooled descriptive,age-only baseline; full hazard model,0.1286837063797366,0-35
7,7.0,8.0,7.5,15152,1983,0.1308738120380148,0.12450930312778197,0.13789867052392396,0.1310243667593366,0.12311068977213,0.1231106897730069,1e-12,False,True,True,,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical/model,none; pooled descriptive panel,True,S0_raw,one-second termination probability among runs alive at interval start,pooled descriptive,age-only baseline; full hazard model,0.1231106897730069,0-35
8,8.0,9.0,8.5,13165,1644,0.12487656665400684,0.11860009134692953,0.13100572721495873,0.1247373370297884,0.1191024543280483,0.1191024543289292,1e-12,False,True,True,,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical/model,none; pooled descriptive panel,True,S0_raw,one-second termination probability among runs alive at interval start,pooled descriptive,age-only baseline; full hazard model,0.1191024543289292,0-35
9,9.0,10.0,9.5,11516,1475,0.1280826675929142,0.12136623534662656,0.13470818021536712,0.1196145364649199,0.1163313175622782,0.1163313175631618,1e-12,False,True,True,,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical/model,none; pooled descriptive panel,True,S0_raw,one-second termination probability among runs alive at interval start,pooled descriptive,age-only baseline; full hazard model,0.1163313175631618,0-35
