recent_window_s,age_bin_left_s,age_bin_right_s,age_s,state,recent_state,n_at_risk,n_terminated,empirical_estimate,ci_low,ci_high,support_flag,sparse_flag,tie_rule,insufficient_history_rule,bootstrap_unit,n_bootstrap_replicates,uncertainty_type,pooled_or_crossfitted,fold_aggregation_rule,supported_range_indicator,state_definition,conditioning_statement,prediction_type,model_name,model_estimate
5.0,0.0,2.0,1.5,High,high,3297,418,0.1267819229602669,0.11379269260567144,0.14040606350793,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,0.0,2.0,1.5,Low,low,26816,5760,0.21479713603818615,0.2079149344095395,0.2210689900107485,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,0.0,2.0,1.5,Mid,mid,10506,1681,0.16000380734818198,0.15468831860744095,0.1656620557434814,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,2.0,4.0,3.088273144052119,High,high,12433,1441,0.11590123059599453,0.10963298627078442,0.12195028930115676,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,2.0,4.0,2.9252672219640368,Low,low,27973,5256,0.18789547063239553,0.1820634023383626,0.1935876467605075,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,2.0,4.0,2.9123087869085733,Mid,mid,19677,2752,0.13985871830055394,0.13528364312218644,0.14477280390611572,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,4.0,6.0,5.0154682274247495,High,high,16744,1968,0.11753463927376971,0.11169566073677284,0.12427686874549189,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,4.0,6.0,4.900411911095855,Low,low,11653,1964,0.16854029005406332,0.1637732672146636,0.17393225060499845,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,4.0,6.0,4.952709458108378,Mid,mid,15003,1993,0.13284009864693727,0.1279159727001468,0.13820708618835328,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
5.0,6.0,8.0,6.98616437547938,High,high,16949,2131,0.12573013157118415,0.12127261937421836,0.1313385249026317,True,False,break ties by most recent state within trailing window,use available prior history if age >= 1 s; otherwise exclude interval,physical_fixture_id,500,physical-fixture bootstrap percentile 95% CI,pooled all-fixture empirical,none; pooled descriptive panel,True,S0_raw,"one-second termination probability among runs alive at interval start, stratified by recent trailing-window order state",pooled descriptive empirical,,
