panel,series,age_s,estimate,ci_low,ci_high,n,events,state,interval_probability_column,interval_convention,interval_left_s,interval_right_s,interval_probability,pooled_or_crossfitted,fold_aggregation_rule,bootstrap_unit,n_bootstrap_replicates,supported_range_indicator,state_definition,conditioning_statement,prediction_type,model_name,model_estimate
C,held-out empirical,0.0,1.0,,,69802.0,,,empirical_estimate,"S(t_right)=S(t_left)*(1-p_interval); first [0,1] interval drops survival at t=1",,,,interval-consistent reconstruction from Figure 4A source probabilities,same one-second interval grid as Figure 4A; no one-bin survival delay,physical_fixture_id,500,True,S0_raw,survival reconstructed from the same one-second interval probabilities plotted in Figure 4A,interval_consistent_panelA_reconstruction,held-out empirical,1.0
C,held-out empirical,1.0,0.5821752958367955,,,69802.0,29165.0,,empirical_estimate,"S(t_right)=S(t_left)*(1-p_interval); first [0,1] interval drops survival at t=1",0.0,1.0,0.4178247041632045,interval-consistent reconstruction from Figure 4A source probabilities,same one-second interval grid as Figure 4A; no one-bin survival delay,physical_fixture_id,500,True,S0_raw,survival reconstructed from the same one-second interval probabilities plotted in Figure 4A,interval_consistent_panelA_reconstruction,held-out empirical,0.5821752958367955
C,held-out empirical,2.0,0.469779159300885,,,40619.0,7842.0,,empirical_estimate,"S(t_right)=S(t_left)*(1-p_interval); first [0,1] interval drops survival at t=1",1.0,2.0,0.19306235997932003,interval-consistent reconstruction from Figure 4A source probabilities,same one-second interval grid as Figure 4A; no one-bin survival delay,physical_fixture_id,500,True,S0_raw,survival reconstructed from the same one-second interval probabilities plotted in Figure 4A,interval_consistent_panelA_reconstruction,held-out empirical,0.469779159300885
C,held-out empirical,3.0,0.39204189365466713,,,32760.0,5421.0,,empirical_estimate,"S(t_right)=S(t_left)*(1-p_interval); first [0,1] interval drops survival at t=1",2.0,3.0,0.16547619047619047,interval-consistent reconstruction from Figure 4A source probabilities,same one-second interval grid as Figure 4A; no one-bin survival delay,physical_fixture_id,500,True,S0_raw,survival reconstructed from the same one-second interval probabilities plotted in Figure 4A,interval_consistent_panelA_reconstruction,held-out empirical,0.39204189365466713
C,held-out empirical,4.0,0.33460516634435594,,,27323.0,4003.0,,empirical_estimate,"S(t_right)=S(t_left)*(1-p_interval); first [0,1] interval drops survival at t=1",3.0,4.0,0.1465066061559858,interval-consistent reconstruction from Figure 4A source probabilities,same one-second interval grid as Figure 4A; no one-bin survival delay,physical_fixture_id,500,True,S0_raw,survival reconstructed from the same one-second interval probabilities plotted in Figure 4A,interval_consistent_panelA_reconstruction,held-out empirical,0.33460516634435594
C,held-out empirical,5.0,0.28841412240389275,,,23311.0,3218.0,,empirical_estimate,"S(t_right)=S(t_left)*(1-p_interval); first [0,1] interval drops survival at t=1",4.0,5.0,0.13804641585517566,interval-consistent reconstruction from Figure 4A source probabilities,same one-second interval grid as Figure 4A; no one-bin survival delay,physical_fixture_id,500,True,S0_raw,survival reconstructed from the same one-second interval probabilities plotted in Figure 4A,interval_consistent_panelA_reconstruction,held-out empirical,0.28841412240389275
C,held-out empirical,6.0,0.24967942668754536,,,20089.0,2698.0,,empirical_estimate,"S(t_right)=S(t_left)*(1-p_interval); first [0,1] interval drops survival at t=1",5.0,6.0,0.13430235452237543,interval-consistent reconstruction from Figure 4A source probabilities,same one-second interval grid as Figure 4A; no one-bin survival delay,physical_fixture_id,500,True,S0_raw,survival reconstructed from the same one-second interval probabilities plotted in Figure 4A,interval_consistent_panelA_reconstruction,held-out empirical,0.24967942668754536
C,held-out empirical,7.0,0.2176975974437191,,,17386.0,2227.0,,empirical_estimate,"S(t_right)=S(t_left)*(1-p_interval); first [0,1] interval drops survival at t=1",6.0,7.0,0.1280915679282181,interval-consistent reconstruction from Figure 4A source probabilities,same one-second interval grid as Figure 4A; no one-bin survival delay,physical_fixture_id,500,True,S0_raw,survival reconstructed from the same one-second interval probabilities plotted in Figure 4A,interval_consistent_panelA_reconstruction,held-out empirical,0.2176975974437191
C,held-out empirical,8.0,0.1892066829947424,,,15152.0,1983.0,,empirical_estimate,"S(t_right)=S(t_left)*(1-p_interval); first [0,1] interval drops survival at t=1",7.0,8.0,0.1308738120380148,interval-consistent reconstruction from Figure 4A source probabilities,same one-second interval grid as Figure 4A; no one-bin survival delay,physical_fixture_id,500,True,S0_raw,survival reconstructed from the same one-second interval probabilities plotted in Figure 4A,interval_consistent_panelA_reconstruction,held-out empirical,0.1892066829947424
C,held-out empirical,9.0,0.1655792020343659,,,13165.0,1644.0,,empirical_estimate,"S(t_right)=S(t_left)*(1-p_interval); first [0,1] interval drops survival at t=1",8.0,9.0,0.12487656665400684,interval-consistent reconstruction from Figure 4A source probabilities,same one-second interval grid as Figure 4A; no one-bin survival delay,physical_fixture_id,500,True,S0_raw,survival reconstructed from the same one-second interval probabilities plotted in Figure 4A,interval_consistent_panelA_reconstruction,held-out empirical,0.1655792020343659
C,held-out empirical,10.0,0.14437137613989823,,,11516.0,1475.0,,empirical_estimate,"S(t_right)=S(t_left)*(1-p_interval); first [0,1] interval drops survival at t=1",9.0,10.0,0.1280826675929142,interval-consistent reconstruction from Figure 4A source probabilities,same one-second interval grid as Figure 4A; no one-bin survival delay,physical_fixture_id,500,True,S0_raw,survival reconstructed from the same one-second interval probabilities plotted in Figure 4A,interval_consistent_panelA_reconstruction,held-out empirical,0.14437137613989823
