_age_bin,age_left_s,age_right_s,age_mid_s,n_at_risk,n_terminated,support_flag
0,0.0,1.0,0.5,69802,29183,True
1,1.0,2.0,1.5,40619,7859,True
2,2.0,3.0,2.5,32760,5437,True
3,3.0,4.0,3.5,27323,4012,True
4,4.0,5.0,4.5,23311,3222,True
5,5.0,6.0,5.5,20089,2703,True
6,6.0,7.0,6.5,17386,2234,True
7,7.0,8.0,7.5,15152,1987,True
8,8.0,9.0,8.5,13165,1649,True
9,9.0,10.0,9.5,11516,1477,True
10,10.0,11.0,10.5,10039,1250,True
11,11.0,12.0,11.5,8789,1087,True
12,12.0,13.0,12.5,7702,950,True
13,13.0,14.0,13.5,6752,778,True
14,14.0,15.0,14.5,5974,700,True
15,15.0,16.0,15.5,5274,595,True
16,16.0,17.0,16.5,4679,528,True
17,17.0,18.0,17.5,4151,434,True
18,18.0,19.0,18.5,3717,385,True
19,19.0,20.0,19.5,3332,386,True
20,20.0,21.0,20.5,2946,317,True
21,21.0,22.0,21.5,2629,289,True
22,22.0,23.0,22.5,2340,266,True
23,23.0,24.0,23.5,2074,227,True
24,24.0,25.0,24.5,1847,212,True
25,25.0,26.0,25.5,1635,196,True
26,26.0,27.0,26.5,1439,207,True
27,27.0,28.0,27.5,1232,154,True
28,28.0,29.0,28.5,1078,132,True
29,29.0,30.0,29.5,946,136,True
30,30.0,31.0,30.5,810,110,True
31,31.0,32.0,31.5,700,95,True
32,32.0,33.0,32.5,605,83,True
33,33.0,34.0,33.5,522,75,True
34,34.0,35.0,34.5,447,66,True
35,35.0,36.0,35.5,381,47,True
36,36.0,37.0,36.5,334,48,True
37,37.0,38.0,37.5,286,45,True
38,38.0,39.0,38.5,241,41,True
39,39.0,40.0,39.5,200,24,True
40,40.0,41.0,40.5,176,22,True
41,41.0,42.0,41.5,154,20,True
42,42.0,43.0,42.5,134,18,True
43,43.0,44.0,43.5,116,26,True
44,44.0,45.0,44.5,90,15,True
45,45.0,46.0,45.5,75,18,True
46,46.0,47.0,46.5,57,7,True
47,47.0,48.0,47.5,50,7,True
48,48.0,49.0,48.5,43,5,True
49,49.0,50.0,49.5,38,5,True
50,50.0,51.0,50.5,33,4,True
51,51.0,52.0,51.5,29,7,False
52,52.0,53.0,52.5,22,4,False
53,53.0,54.0,53.5,18,6,False
54,54.0,55.0,54.5,12,1,False
55,55.0,56.0,55.5,11,0,False
56,56.0,57.0,56.5,11,2,False
57,57.0,58.0,57.5,9,1,False
58,58.0,59.0,58.5,8,1,False
59,59.0,60.0,59.5,7,2,False
60,60.0,61.0,60.5,5,0,False
61,61.0,62.0,61.5,5,2,False
62,62.0,63.0,62.5,3,3,False
