bootstrap,model,success,message,q,tc,tau_q,log_likelihood_weighted,tau_at_lower_bound,tau_at_upper_bound
0,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.038772510667616056,25.40405573941948,,-166638.73109302457,False,False
0,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.16154257215784587,16.554330332279317,59.999999999999986,-166630.8721206196,False,True
1,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03648108163041706,25.87338805483278,,-166148.44790361752,False,False
1,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.1454288673927705,15.0,59.999999999999986,-166128.21208828685,False,True
2,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.032002174547278855,25.324620100465133,,-168257.63438838883,False,False
2,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03107994943790811,24.232507978374073,0.5008611763609174,-168256.7172241973,True,False
3,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03743450650166273,25.761463527671186,,-166683.60802821463,False,False
3,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.07563050196117936,20.784592161862324,16.524209544393155,-166680.1034802907,False,False
4,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03691668927085444,25.739864438150555,,-156624.49687136125,False,False
4,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.05217973123417283,20.818242349600194,8.485118706751582,-156618.0977862893,False,False
5,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03506570998778668,25.579537927547516,,-162303.42861494064,False,False
5,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.04619650738829881,20.778003091279643,7.21076108598621,-162296.21306313243,False,False
6,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03853853534868874,25.765031517041308,,-162922.2139866138,False,False
6,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.038922528073382784,25.32364767856751,0.5,-162922.73379790314,True,False
7,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.02878448843262099,24.690157334856696,,-167888.41795212368,False,False
7,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.04667362916929949,20.4989719641765,10.355914805308414,-167884.58568382676,False,False
8,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.04166110028257593,25.406452671342688,,-158422.42189272164,False,False
8,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.04868781263198258,21.624872760818867,4.4638670461471,-158415.07988022827,False,False
