tau_q_fixed,profile_log_likelihood,delta_2logL_from_best,profile_q,profile_tc,success
0.5,-163258.8377452408,4.510480503086001,0.03555674545844469,24.43567847672739,True
0.75,-163258.51490244758,3.864794916647952,0.03628358403446633,24.327505508624107,True
1.0,-163258.30014147115,3.4352729637757875,0.03696237299649368,24.213390151052966,True
1.5,-163258.02911154384,2.8932131091714837,0.038329157386272024,24.011075560183368,True
2.5,-163257.53351925258,1.9020285266451538,0.03993739193582656,23.297418165533653,True
4.0,-163257.14342068287,1.1218313872232102,0.042945006369731226,22.57555157712671,True
6.0,-163256.78300663357,0.40100328862899914,0.04714467753894508,21.845734172586344,True
10.0,-163256.5825642786,0.00011857866775244474,0.05632566539031503,20.981736696852554,True
15.0,-163256.68825823648,0.21150649443734437,0.06891242928743706,20.48871917314816,True
25.0,-163256.9998846599,0.8347593412618153,0.09469711178462564,20.007703483434664,True
40.0,-163257.0745828486,0.9841557187028229,0.12442028186678172,18.829394198039306,True
60.0,-163257.19539821235,1.2257864461862482,0.1743636284218072,18.706704101667015,True
