x_value,included_in_fit,n_support,y_value,ci_low,ci_high,support_flag
-20.0,False,69802,-0.0,-0.0,5.50321354662161e-05,True
-19.0,False,40619,0.0649871007484693,0.05872662483169696,0.07130260880070795,True
-18.0,False,32760,-0.03610336665531777,-0.043964178689584126,-0.02818752248558537,True
-17.0,False,27323,-0.08074599235763708,-0.08996825850189041,-0.07146869407791764,True
-16.0,False,23311,-0.10617042508742229,-0.11661929971947377,-0.09566651831990462,True
-15.0,False,20089,-0.11864708084216687,-0.13028934702032868,-0.10694978252853893,True
-14.0,False,17386,-0.1212618999340425,-0.1341150484634252,-0.10835371926919408,True
-13.0,False,15152,-0.12147938128454515,-0.13554039004469173,-0.10736334038893272,True
-12.0,False,13165,-0.11228314647305199,-0.12764228773789502,-0.09686897307274282,True
-11.0,False,11516,-0.10527267930564135,-0.12193434446942672,-0.08855598200639042,True
-10.0,False,10039,-0.0916858944857661,-0.10975817626912716,-0.07355858056693916,True
-9.0,False,8789,-0.0798395785327062,-0.09935739923833371,-0.06026672569161247,True
-8.0,False,7702,-0.06684441832091542,-0.0878810827367222,-0.04575272176964387,True
-7.0,False,6752,-0.052718806693522226,-0.07535993413052001,-0.03002264712106013,True
-6.0,False,5974,-0.04647980636602868,-0.07070000604226272,-0.022204574554328706,True
-5.0,False,5274,-0.03687415445023086,-0.06279442292325828,-0.010898853841739236,True
-4.0,False,4679,-0.030831724009516066,-0.05847905407528679,-0.0031293618082791647,True
-3.0,False,4151,-0.023841298480806867,-0.05331479542669675,0.005687230600549108,True
-2.0,False,3717,-0.025235730947248965,-0.05648670739658314,0.006070277637548434,True
-1.0,False,3332,-0.026736847320758858,-0.05984141966213505,0.006422757156082989,True
0.0,True,2946,-0.01385810031326392,-0.04916838688652595,0.021507218395463993,True
1.0,True,2629,-0.009535847366932488,-0.04700433106221175,0.027987668463809446,True
2.0,True,2340,-0.005021483569674082,-0.04482313766521456,0.03483520266133,True
3.0,True,2074,-0.00107889078929564,-0.04344060292339817,0.04133785348026976,True
4.0,True,1847,-0.00635368340994395,-0.05131957561324894,0.03866724092882555,True
5.0,True,1635,-0.00988992471780156,-0.05775793567078989,0.03803311837064827,True
6.0,True,1439,-0.011870020651333996,-0.0629684211259643,0.03928341195875889,True
7.0,True,1232,0.010605728426070096,-0.04470361993089715,0.06597010891850036,True
8.0,True,1078,0.00796709396379477,-0.051228280165341526,0.06721750022838609,True
9.0,True,946,-0.0007587602011710366,-0.06401046067432327,0.06254797240744635,True
10.0,True,810,0.011229956438375798,-0.05719360538104872,0.0797085503932587,True
11.0,True,700,0.012112738360238929,-0.06154935320657657,0.08582986206251474,True
12.0,True,605,0.011057735698900365,-0.06823065999893778,0.09040116353218558,True
13.0,True,522,0.008959189938178192,-0.0764500624898685,0.09442347450166833,True
14.0,True,447,0.012847575952863947,-0.07949660835518653,0.1052467923963628,True
15.0,True,381,0.01904013843082447,-0.08102676408292683,0.11916207308001733,True
16.0,True,334,-0.0038229775339565174,-0.11073060477099544,0.10313968183853668,True
17.0,True,286,-0.004451992399549834,-0.12001595258909778,0.11116699992545519,True
18.0,True,241,0.008340061710046786,-0.11758166585296409,0.13431682140851112,True
19.0,True,200,0.03624837901104268,-0.10200369955371806,0.17455548971126358,True
20.0,True,176,0.005887272428991819,-0.14150113813588844,0.15333071512933522,True
21.0,True,154,-0.01991279980790983,-0.17748404503463341,0.13771347755424307,True
22.0,True,134,-0.04161731107700831,-0.21053896636638061,0.12735937634780942,True
23.0,True,116,-0.05734825933584309,-0.23889552219311574,0.12425403565684653,True
24.0,True,90,0.03435085199150097,-0.17171895189369316,0.24047568801201552,True
25.0,True,75,0.05405649255446799,-0.17162896924351978,0.2797969864878688,True
26.0,True,57,0.16460286822985964,-0.09414099636605978,0.4234017649611236,True
27.0,True,50,0.13314070296770183,-0.14303068652850492,0.4093671245992291,True
28.0,True,43,0.12138407260547364,-0.17628344400228313,0.4191066213485178,True
29.0,True,38,0.08122271241078911,-0.23528388104209574,0.39778433799877416,True
30.0,True,33,0.057019101683098386,-0.28242162224243467,0.3965148577439094,True
31.0,False,29,0.019916041532058098,-0.3419538633014627,0.38184097850075477,False
32.0,False,22,0.13023877598456093,-0.28454737909990124,0.5450799632040897,False
33.0,False,18,0.16518442563657235,-0.29267943197649815,0.6231033153844981,False
34.0,False,12,0.4013023377375323,-0.15712145960844642,0.9597811672183661,False
35.0,False,11,0.32055479698718453,-0.2620389439217325,0.9032035700305338,False
36.0,False,11,0.15372099768039924,-0.4288727432285177,0.7363697707237485,False
37.0,False,9,0.18044688035451734,-0.46170421109763204,0.8226530039415215,False
38.0,False,8,0.13025708551108076,-0.5494559357264951,0.8100251388829294,False
39.0,False,7,0.09144213883172267,-0.6333113951554981,0.8162507049524692,False
40.0,False,5,0.25641191872835,-0.5941636852866556,1.1070425548788216,False
41.0,False,5,0.08301459395960538,-0.7675610100554005,0.9336452301100769,False
42.0,False,3,0.4204933332792793,-0.657988713353662,1.4990304120476867,False
43.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
44.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
45.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
46.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
47.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
48.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
49.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
50.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
51.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
52.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
53.0,False,0,17.818895489891187,-0.004504847944667418,17.818895489891187,False
