age_band,current_state,next_state,transition_label,point_estimate,lower_uncertainty_bound,upper_uncertainty_bound,bootstrap_median,uncertainty_definition,state_definition,bootstrap_unit,n_bootstrap_replicates,n_transitions,n_origin_state_transitions,conditional_on_survival,line_color,line_style,pooled_or_crossfitted,fold_aggregation_rule,supported_range_indicator,conditioning_statement,transition_conditioning,prediction_type,model_name,model_estimate
0-5,High,High,High → High,0.8197905653728037,0.8151144909718551,0.8247323368290856,0.8199183818566151,physical-match cluster bootstrap percentile 95% CI,S0_raw,physical_match_id,1000,32567,39726,True,#1f77b4,solid,pooled all-fixture empirical,none; physical-match cluster bootstrap,True,transition probability conditional on run survival through the interval,conditional_on_survival,pooled descriptive empirical transition operator,High → High,0.8197905653728037
5-10,High,High,High → High,0.8119504008432966,0.8060007701256283,0.8177011070329012,0.8119201197946568,physical-match cluster bootstrap percentile 95% CI,S0_raw,physical_match_id,1000,29270,36049,True,#1f77b4,solid,pooled all-fixture empirical,none; physical-match cluster bootstrap,True,transition probability conditional on run survival through the interval,conditional_on_survival,pooled descriptive empirical transition operator,High → High,0.8119504008432966
10-20,High,High,High → High,0.776587439278279,0.7679605781260344,0.7844169892646137,0.7764941548650878,physical-match cluster bootstrap percentile 95% CI,S0_raw,physical_match_id,1000,17905,23056,True,#1f77b4,solid,pooled all-fixture empirical,none; physical-match cluster bootstrap,True,transition probability conditional on run survival through the interval,conditional_on_survival,pooled descriptive empirical transition operator,High → High,0.776587439278279
20-35,High,High,High → High,0.7318601009222203,0.7180559970613998,0.7456315572529166,0.7318855159793605,physical-match cluster bootstrap percentile 95% CI,S0_raw,physical_match_id,1000,4206,5747,True,#1f77b4,solid,pooled all-fixture empirical,none; physical-match cluster bootstrap,True,transition probability conditional on run survival through the interval,conditional_on_survival,pooled descriptive empirical transition operator,High → High,0.7318601009222203
0-5,High,Mid,High → Mid,0.1663645974928258,0.1616803682823146,0.1706291018248909,0.1662210348389374,physical-match cluster bootstrap percentile 95% CI,S0_raw,physical_match_id,1000,6609,39726,True,0.55,solid,pooled all-fixture empirical,none; physical-match cluster bootstrap,True,transition probability conditional on run survival through the interval,conditional_on_survival,pooled descriptive empirical transition operator,High → Mid,0.1663645974928258
5-10,High,Mid,High → Mid,0.1791727925878665,0.1738828053724308,0.1848061727805642,0.1792306614608559,physical-match cluster bootstrap percentile 95% CI,S0_raw,physical_match_id,1000,6459,36049,True,0.55,solid,pooled all-fixture empirical,none; physical-match cluster bootstrap,True,transition probability conditional on run survival through the interval,conditional_on_survival,pooled descriptive empirical transition operator,High → Mid,0.1791727925878665
10-20,High,Mid,High → Mid,0.2123091603053435,0.2052390117824424,0.2204689128337682,0.2123391293847647,physical-match cluster bootstrap percentile 95% CI,S0_raw,physical_match_id,1000,4895,23056,True,0.55,solid,pooled all-fixture empirical,none; physical-match cluster bootstrap,True,transition probability conditional on run survival through the interval,conditional_on_survival,pooled descriptive empirical transition operator,High → Mid,0.2123091603053435
20-35,High,Mid,High → Mid,0.2493474856446841,0.2364673323498984,0.2621638881630029,0.2494601983113701,physical-match cluster bootstrap percentile 95% CI,S0_raw,physical_match_id,1000,1433,5747,True,0.55,solid,pooled all-fixture empirical,none; physical-match cluster bootstrap,True,transition probability conditional on run survival through the interval,conditional_on_survival,pooled descriptive empirical transition operator,High → Mid,0.2493474856446841
0-5,Low,Low,Low → Low,0.6352189074002325,0.6308882386089816,0.6392525533527317,0.6351657591005861,physical-match cluster bootstrap percentile 95% CI,S0_raw,physical_match_id,1000,36069,56782,True,#d62728,solid,pooled all-fixture empirical,none; physical-match cluster bootstrap,True,transition probability conditional on run survival through the interval,conditional_on_survival,pooled descriptive empirical transition operator,Low → Low,0.6352189074002325
5-10,Low,Low,Low → Low,0.7473640254723876,0.737009777292466,0.7579957477758598,0.747377639932652,physical-match cluster bootstrap percentile 95% CI,S0_raw,physical_match_id,1000,7159,9579,True,#d62728,solid,pooled all-fixture empirical,none; physical-match cluster bootstrap,True,transition probability conditional on run survival through the interval,conditional_on_survival,pooled descriptive empirical transition operator,Low → Low,0.7473640254723876
