age_s,estimate,ci_low,ci_high,model_name,quantity,pooled_or_crossfitted,fold_aggregation_rule,bootstrap_unit,n_bootstrap_replicates,supported_range_indicator,state_definition,conditioning_statement,prediction_type,model_estimate
0.0,0.0975616744505888,0.0921451804232296,0.109095470306374,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.0975616744505888
1.0,0.1403037987148871,0.1346526567926306,0.1549968915936212,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.1403037987148871
2.0,0.330006105006105,0.3190209714318132,0.3568738750853821,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.330006105006105
3.0,0.4436921275116202,0.4329582889358289,0.476654257427497,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4436921275116202
4.0,0.4935438205139205,0.4808168710214497,0.5264147543696487,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4935438205139205
5.0,0.5181940365374086,0.5040440681230957,0.5511775330770186,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.5181940365374086
6.0,0.5237547451972852,0.5096330145474013,0.5565878098245512,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.5237547451972852
7.0,0.5164994720168955,0.502772238332541,0.5486815079712538,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.5164994720168955
8.0,0.5051272312951006,0.4892646347124835,0.5346978817151962,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.5051272312951006
9.0,0.4868878082667593,0.4691477962034039,0.5153294793652469,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4868878082667593
10.0,0.4648869409303715,0.4465902675872377,0.4929176970595981,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4648869409303715
11.0,0.4462396177039481,0.4307312968282488,0.4743540415998133,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4462396177039481
12.0,0.4283303038171903,0.4141990091365696,0.4521824295460462,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4283303038171903
13.0,0.4093601895734597,0.3906204775874102,0.4325092014296026,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4093601895734597
14.0,0.3967191161700703,0.3779606532336321,0.4213152324605909,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3967191161700703
15.0,0.3934395145999241,0.3734976161248415,0.417392752658583,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3934395145999241
