threshold_s,estimate,ci_low,ci_high,model_name,quantity,pooled_or_crossfitted,fold_aggregation_rule,bootstrap_unit,n_bootstrap_replicates,supported_range_indicator,state_definition,conditioning_statement,prediction_type,model_estimate
1.0,0.0975616744505888,0.0921451804232296,0.109095470306374,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.0975616744505888
2.0,0.1116103301410669,0.1065531554431516,0.1232152030739617,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.1116103301410669
3.0,0.1933455433455433,0.1862356678173592,0.2104681906199602,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.1933455433455433
4.0,0.2659023533286974,0.2576460507971853,0.2871225259372558,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.2659023533286974
5.0,0.3202007635880057,0.3110999824837959,0.3451314317787595,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3202007635880057
6.0,0.3608359467038345,0.3508968976540019,0.3876161818397958,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3608359467038345
7.0,0.3910453402573499,0.3802729291795672,0.4187186692211884,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3910453402573499
8.0,0.4097973864836325,0.3990754267116446,0.4375047900836109,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4097973864836325
9.0,0.4228974131746634,0.4125074326897231,0.4504101786248773,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4228974131746634
10.0,0.4295675581799235,0.4178869876852028,0.4569782956596158,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4295675581799235
11.0,0.4348042633728459,0.4224679905876989,0.4627569847096339,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4348042633728459
12.0,0.4386069708347555,0.42601915341468,0.465775502128829,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4386069708347555
13.0,0.4364201106605677,0.4228662383602836,0.4622533985558508,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4364201106605677
14.0,0.4346754400812457,0.4212221670690395,0.4595131060619828,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4346754400812457
15.0,0.4329092735185805,0.4195601416756063,0.4577336473696984,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4329092735185805
16.0,0.4321672354948805,0.4178939045645031,0.4553035762187337,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4321672354948805
17.0,0.4305469997359918,0.4171035126431499,0.4535955207517809,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4305469997359918
18.0,0.4281163842715276,0.4127076887293153,0.4519389714902177,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4281163842715276
19.0,0.4256545318097504,0.4096058475506346,0.4492866290568386,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4256545318097504
20.0,0.4226740696278511,0.4055626834021693,0.4470911481413455,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4226740696278511
21.0,0.4228978760546988,0.4060142020603225,0.4472992417879004,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4228978760546988
22.0,0.4247034821397696,0.4066978719432568,0.4480591874713807,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4247034821397696
23.0,0.4265328874024526,0.4075174048694144,0.4497090538750585,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4265328874024526
24.0,0.4280777884924461,0.4076203498345008,0.4490685322538574,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4280777884924461
25.0,0.4250568489442339,0.4028244786844587,0.4449051407831932,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4250568489442339
26.0,0.4219477769936485,0.4003700835853279,0.4446832947790154,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4219477769936485
27.0,0.4146140581164903,0.3904715397002305,0.4377948137838046,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4146140581164903
28.0,0.4099895640074212,0.385379183989725,0.4322277799530725,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4099895640074212
29.0,0.4038129358326403,0.3788802998980421,0.4232832578971985,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4038129358326403
30.0,0.3944679351656095,0.3705935880304211,0.4166219728806953,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3944679351656095
31.0,0.3820390282755874,0.3602268943977404,0.4041831497957087,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3820390282755874
32.0,0.3786160714285714,0.3578386068476532,0.4006811641393412,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3786160714285714
33.0,0.3656398697721011,0.3404805530244502,0.3853006762831757,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3656398697721011
34.0,0.361956276763579,0.339565236725372,0.3785186301196722,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.361956276763579
35.0,0.3658037711728987,0.3422522277174521,0.3833322611194951,held-out empirical,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3658037711728987
1.0,0.1162453699925468,0.1161442161328942,0.1163546612676701,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.1162453699925468
2.0,0.1863204106932404,0.186229248932255,0.186422487202646,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.1863204106932404
3.0,0.2532450795187804,0.2531603371821374,0.2533425710902808,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.2532450795187804
4.0,0.3103594809634825,0.3102802306564833,0.3104540899351207,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3103594809634825
5.0,0.3568765609684366,0.3567936818224201,0.3569738123088783,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3568765609684366
6.0,0.394098064877023,0.3940098163812175,0.3941990469294434,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.394098064877023
7.0,0.4186597096244894,0.4185666759663487,0.4187534887911026,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4186597096244894
8.0,0.4356866416714067,0.4355867425205997,0.4357833471419647,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4356866416714067
9.0,0.4478792941950427,0.447770620348875,0.4479692179316361,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4478792941950427
10.0,0.4568007874059719,0.4566842075654443,0.4568924901830151,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4568007874059719
11.0,0.4634217815724712,0.4633009593104704,0.4635152593489523,full generative model,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.4634217815724712
