prediction_decile,predicted_probability,empirical_probability,n,events,ci_low,ci_high
"(0.0503, 0.086]",0.07137168361471774,0.08493035035880118,35535,3018,0.08207643936874566,0.08787399593188046
"(0.086, 0.106]",0.09621293071316864,0.11156140943374986,35532,3964,0.10832977448151193,0.11487702864651639
"(0.106, 0.124]",0.11420107710918116,0.11404940077645867,35546,4054,0.11078647566544332,0.11739573935742194
"(0.124, 0.144]",0.13300837510519822,0.1256638157526972,35778,4496,0.12226922607878556,0.1291387841785736
"(0.144, 0.163]",0.1526665614291694,0.1300877217724875,35453,4612,0.12662600795752477,0.13362959247362022
"(0.163, 0.207]",0.18640480486945987,0.14701404161732362,35466,5214,0.1433667403448749,0.1507378039505809
"(0.207, 0.263]",0.23161177582210368,0.24908342895524893,35731,8900,0.24462618994291946,0.2535946164982653
"(0.263, 0.306]",0.2871856458638079,0.2909890357676372,35479,10324,0.28628541516809575,0.2957379141021282
"(0.306, 0.379]",0.33972603499715914,0.3243833820436481,36611,11876,0.31960656970080586,0.3291970454976824
"(0.379, 0.38]",0.3791315356990476,0.3863270855872979,34199,13212,0.38117958386839906,0.3915001223698102
