_age_bin_2s,observed_state,predicted_probability,empirical_probability,n,events,ci_low,ci_high
0,high,0.2023564824875955,0.3112159245343353,12509,3893,0.30316125424111207,0.3193865130062572
0,low,0.36280800227576565,0.3490359467185694,65764,22954,0.34540172315589773,0.3526878063627355
0,mid,0.2881631706498071,0.31603832275724775,32148,10160,0.3109782058831456,0.32114240023479457
2,high,0.1524317899183415,0.09688671840934857,22934,2222,0.09312553812456369,0.10078292447463742
2,low,0.2804277634845817,0.25886332882273344,14780,3826,0.25186502543975153,0.26598695154571617
2,mid,0.22120239861930535,0.1509231525772274,22369,3376,0.14629190883283283,0.15567427502465264
4,high,0.12377515293170843,0.09600730093543235,21915,2104,0.09217730896653725,0.09997890425232189
4,low,0.2278345561162821,0.22961587890903898,7003,1608,0.21991497109406014,0.23961327056049644
4,mid,0.17941168622685655,0.15218892418174285,14482,2204,0.1464308475085197,0.15813147767940722
6,high,0.10385914362332994,0.09591306402078904,16932,1624,0.09156874601212027,0.10044070216316263
6,low,0.19235304997366828,0.20174371451743714,4932,995,0.1907778619227348,0.21317383701347095
6,mid,0.1509954818879774,0.14905377552932358,10674,1591,0.14242367733539166,0.15593639573405713
8,high,0.0894206213969986,0.0970873786407767,12257,1190,0.0919712687723356,0.1024559718503636
8,low,0.16674406333937278,0.1913296197626544,4129,790,0.17962063850236762,0.20361243774231594
8,mid,0.13038781007877237,0.13731163351416517,8295,1139,0.1300725722438847,0.14488647746252253
10,high,0.07849136330643353,0.08871812783793225,8589,762,0.08288717118019263,0.0949168279066752
10,low,0.14719509536175976,0.179800853485064,3515,632,0.16745706520000658,0.19284377925971558
10,mid,0.11477603098401919,0.1393515764425937,6724,937,0.13127958250884905,0.14783543113832123
12,high,0.06994583669842111,0.08312716476991588,6063,504,0.0764390649318788,0.0903432027970166
12,low,0.1317084430642082,0.17727424191936023,3001,532,0.1640254812782839,0.19134819299459624
12,mid,0.10252090531725064,0.12727272727272726,5390,686,0.1186398862010894,0.13643649572306643
14,high,0.06304322346941733,0.07626546681664792,4445,339,0.06882322518031403,0.08443950280712428
14,low,0.11916629550278961,0.1628171147292692,2641,430,0.1492276242636042,0.1773861132093696
14,mid,0.09266594802665669,0.12421912542047092,4162,517,0.11454361117349025,0.13458770481317614
16,high,0.057407625396734614,0.06821566875186179,3357,229,0.060171169619632245,0.07724726747659984
16,low,0.1088348010956662,0.16897012929112795,2243,379,0.15403108468113605,0.18504114898233184
16,mid,0.08448513776390058,0.10897832817337462,3230,352,0.09869263324944556,0.12019304129936355
18,high,0.05269236016308535,0.06653846153846153,2600,173,0.05758395845514726,0.07677198700635855
18,low,0.10014593154335917,0.16377551020408163,1960,321,0.1480522701106884,0.1808141720707992
18,mid,0.07763491886421443,0.10887906789875453,2489,271,0.09723913368290606,0.12172447796413961
20,high,0.0653947863576991,0.06993006993006994,2002,140,0.05956253334016672,0.08194495159782639
20,low,0.10883761290117488,0.15769944341372913,1617,255,0.14074890041718366,0.17627257780746217
20,mid,0.08797688396037232,0.1058282208588957,1956,207,0.092959597791026,0.12024212218471084
22,high,0.088117005319586,0.06729475100942127,1486,100,0.05563985295746959,0.08118113526033827
22,low,0.12751806040508043,0.15102639296187684,1364,206,0.13300488973285893,0.17100808954778293
22,mid,0.10883688853462944,0.11764705882352941,1564,184,0.10260804074345538,0.13455979559919556
24,high,0.10248970530736078,0.07988721804511278,1064,85,0.06506695987606612,0.09773021903136736
24,low,0.1386816461897335,0.15437987857762359,1153,178,0.13467496699876996,0.17638023710177414
24,mid,0.12156978916386967,0.11067193675889328,1265,140,0.09454804787781998,0.12915331878607247
26,high,0.11152661802944659,0.08583106267029973,734,63,0.0676607117377338,0.10831418585546235
26,low,0.1451011796373239,0.17497348886532343,943,165,0.15205507749712,0.2005293463389261
26,mid,0.12902608412304759,0.13279678068410464,994,132,0.11310690073505211,0.15531405906457943
28,high,0.11698453154688972,0.10547667342799188,493,52,0.08134564484908643,0.13570864368069852
28,low,0.14840984627224985,0.156289707750953,787,123,0.13259541168544195,0.18332322486579658
28,mid,0.1333954360722682,0.125,744,93,0.10314481597606172,0.15070787154493198
30,high,0.12017698081482166,0.08734939759036145,332,29,0.06150540744609897,0.12263378198129779
30,low,0.14971801732687492,0.16097560975609757,615,99,0.13404812642590946,0.19211223512703074
30,mid,0.13566708374028547,0.13676731793960922,563,77,0.1108355319558646,0.1676225064097035
