comparison,model,model_label,kmin,n,n_parameters,log_likelihood,AIC,BIC,KS,success,message,param_p,param_mean_duration_on_support,param_mu,param_sigma,param_shape,param_scale,param_alpha,param_tc,param_beta,delta_AIC,comparison_scope
whole,geometric,geometric/exponential,1,69670,1,-175596.61805204017,351195.23610408034,351204.38762916834,0.2218895604431907,True,,0.1967267737035008,5.083192191761159,,,,,,,,23656.3524004792,whole
whole,lognormal,interval log-normal,1,69670,2,-166032.65508685826,332069.3101737165,332087.6132238926,0.0474816457269698,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,0.1640213681743866,1.6060435019380483,,,,,,4530.426470115373,whole
whole,weibull,interval Weibull,1,69670,2,-165088.84841234417,330181.69682468835,330199.9998748644,0.0527472059637498,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,,,0.451577158593645,1.070294549026063,,,,2642.813121087209,whole
whole,power_law,discrete power law,1,69670,1,-170489.81394635965,340981.6278927193,340990.7794178073,0.0911221093789673,True,Solution found.,,,,,,,1.6724076567525452,,,13442.744189118152,whole
whole,truncated_power_law,discrete truncated power law,1,69670,2,-164485.2590887018,328974.5181774036,328992.82122757967,0.0469052665022908,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,,,,,1.122176174185074,17.702311863913568,,1435.6344738024636,whole
whole,stretched_truncated_power_law,discrete power law with stretched cutoff,1,69670,3,-163766.44185180057,327538.88370360114,327566.3382788652,0.0334723872059117,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,,,,,1.3264938430006872,32.26358536307996,2.782240657358805,0.0,whole
tail,geometric,geometric/exponential,4,27242,1,-81212.01696338727,162426.03392677454,162434.24644195355,0.0250634355470618,True,,0.128920817006455,10.756699214448275,,,,,,,,188.08749333623564,tail
tail,lognormal,interval log-normal,4,27242,2,-81327.85175598547,162659.70351197093,162676.12854232895,0.0153010653567226,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,1.875747335242942,0.8026767528707324,,,,,,421.7570785326243,tail
tail,weibull,interval Weibull,4,27242,2,-81148.16318434547,162300.32636869093,162316.75139904895,0.0078646414503164,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,,,0.8835679074278283,6.117938177071252,,,,62.37993525262573,tail
tail,power_law,discrete power law,4,27242,1,-84443.31299443348,168888.62598886696,168896.83850404597,0.1236375812036817,True,Solution found.,,,,,,,2.089194033675501,,,6650.679555428651,tail
tail,truncated_power_law,discrete truncated power law,4,27242,2,-81136.4261762129,162276.8523524258,162293.27738278382,0.0066240813521926,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,,,,,0.3522454012039002,8.91926491388833,,38.90591898749699,tail
tail,stretched_truncated_power_law,discrete power law with stretched cutoff,4,27242,3,-81115.97321671915,162237.9464334383,162262.58397897534,0.0070364853906971,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,,,,,0.8560760631456861,19.102988778372307,1.5082554862320496,0.0,tail
