duration_s,empirical_ccdf,model,model_source_name,model_label,plot_label,model_ccdf,n_parameters,n,param_p,param_mean_duration_on_support,param_mu,param_sigma,param_shape,param_scale,param_alpha,param_tc,param_beta,support,sample_size,pooled_or_heldout_status,uncertainty_definition,contrast_direction
1,1.0,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),1.0,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
2,0.5813836658533085,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.8032732262964992,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
3,0.4688244581598966,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.6452478760847868,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
4,0.3910147839816277,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.5183103431835905,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
5,0.3335582029567963,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.4163448215919284,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
6,0.287369025405483,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.3344386480919887,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
7,0.2486436055691115,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.2686456118510913,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
8,0.2166786278168508,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.2157958273620231,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
9,0.1882158748385244,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.1733430104664147,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
10,0.1646189177551313,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.1392417992733047,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
11,0.1434476819290943,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.111849209337597,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
12,0.1255777235538969,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0898454752433241,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
