age_start_s,age_mid_s,n_at_risk,n_terminated,termination_probability,n_clusters,ci_low,ci_high,variant,quantity,duration_s,ccdf
0.0,0.5,69802.0,29165.0,0.4178247041632045,47.0,0.4132688514298048,0.4223081512501268,primary_recomputed,hazard,,
1.0,1.5,40619.0,7842.0,0.19306235997932,47.0,0.1882513126383992,0.197188756346261,primary_recomputed,hazard,,
2.0,2.5,32760.0,5421.0,0.1654761904761904,47.0,0.1605260502034984,0.1714113986719795,primary_recomputed,hazard,,
3.0,3.5,27323.0,4003.0,0.1465066061559858,47.0,0.1429881021802719,0.1505516294173056,primary_recomputed,hazard,,
4.0,4.5,23311.0,3218.0,0.1380464158551756,47.0,0.1341175781248781,0.1424226016003924,primary_recomputed,hazard,,
5.0,5.5,20089.0,2698.0,0.1343023545223754,47.0,0.1292221723411461,0.1387729940032195,primary_recomputed,hazard,,
6.0,6.5,17386.0,2227.0,0.1280915679282181,47.0,0.1229890519130411,0.1333620855410135,primary_recomputed,hazard,,
7.0,7.5,15152.0,1983.0,0.1308738120380148,47.0,0.1239706043928012,0.1372121463057241,primary_recomputed,hazard,,
8.0,8.5,13165.0,1644.0,0.1248765666540068,47.0,0.1180466042438892,0.1316391771388603,primary_recomputed,hazard,,
9.0,9.5,11516.0,1475.0,0.1280826675929142,47.0,0.1217097181455799,0.1346864947208899,primary_recomputed,hazard,,
10.0,10.5,10039.0,1245.0,0.1240163362884749,47.0,0.1154496522431909,0.1314654456594119,primary_recomputed,hazard,,
11.0,11.5,8789.0,1086.0,0.1235635453407668,47.0,0.117141506227912,0.1300335452474926,primary_recomputed,hazard,,
12.0,12.5,7702.0,946.0,0.1228252401973513,47.0,0.1149011352454,0.1305091588402454,primary_recomputed,hazard,,
13.0,13.5,6752.0,776.0,0.1149289099526066,47.0,0.1078120000377924,0.1218995908186846,primary_recomputed,hazard,,
14.0,14.5,5974.0,695.0,0.1163374623367927,47.0,0.1068408024954207,0.1246090321695193,primary_recomputed,hazard,,
15.0,15.5,5274.0,591.0,0.1120591581342434,47.0,0.1030044113559687,0.1204507712158633,primary_recomputed,hazard,,
16.0,16.5,4679.0,526.0,0.1124171831587946,47.0,0.1044291649249461,0.120939669950706,primary_recomputed,hazard,,
17.0,17.5,4151.0,434.0,0.1045531197301855,47.0,0.0963323385630427,0.1128294837139353,primary_recomputed,hazard,,
18.0,18.5,3717.0,384.0,0.1033091202582728,47.0,0.0923399064450618,0.1127969322427111,primary_recomputed,hazard,,
19.0,19.5,3332.0,381.0,0.1143457382953181,47.0,0.1052139488633648,0.1222792465376709,primary_recomputed,hazard,,
20.0,20.5,2946.0,316.0,0.1072640868974881,47.0,0.095916688277049,0.1199394692235078,primary_recomputed,hazard,,
21.0,21.5,2629.0,286.0,0.1087866108786611,47.0,0.0984119157102743,0.1203779153737921,primary_recomputed,hazard,,
22.0,22.5,2340.0,265.0,0.1132478632478632,47.0,0.1020636037478187,0.1248310101246857,primary_recomputed,hazard,,
23.0,23.5,2074.0,225.0,0.1084860173577627,47.0,0.0941495146428495,0.1244063266721157,primary_recomputed,hazard,,
24.0,24.5,1847.0,209.0,0.1131564699512723,47.0,0.0983950814436282,0.1303640828151498,primary_recomputed,hazard,,
25.0,25.5,1635.0,194.0,0.1186544342507645,47.0,0.1009171142353869,0.1352464962380158,primary_recomputed,hazard,,
26.0,26.5,1439.0,206.0,0.1431549687282835,47.0,0.1275081271826552,0.1591904964422732,primary_recomputed,hazard,,
27.0,27.5,1232.0,154.0,0.125,47.0,0.1065988985865867,0.1445879363799453,primary_recomputed,hazard,,
28.0,28.5,1078.0,132.0,0.1224489795918367,47.0,0.1034511031604054,0.1421253719409663,primary_recomputed,hazard,,
29.0,29.5,946.0,136.0,0.1437632135306553,47.0,0.1217451906618684,0.1665867810292633,primary_recomputed,hazard,,
30.0,30.5,810.0,110.0,0.1358024691358024,47.0,0.1158768071735936,0.154160927456382,primary_recomputed,hazard,,
31.0,31.5,700.0,95.0,0.1357142857142857,47.0,0.1113260458993876,0.1594074710176041,primary_recomputed,hazard,,
32.0,32.5,605.0,82.0,0.1355371900826446,47.0,0.1046009839827724,0.1690046024285154,primary_recomputed,hazard,,
33.0,33.5,522.0,73.0,0.1398467432950191,47.0,0.1082489984480456,0.1710478182027818,primary_recomputed,hazard,,
34.0,34.5,447.0,66.0,0.1476510067114094,47.0,0.1183625257580217,0.1824901810109289,primary_recomputed,hazard,,
0.0,0.5,47522.0,17463.0,0.3674719077479904,47.0,0.3629470891189352,0.3717401395118653,low_speed_guard_0p25,hazard,,
1.0,1.5,30044.0,3867.0,0.1287112235388097,47.0,0.1245224686882426,0.1329077633445592,low_speed_guard_0p25,hazard,,
2.0,2.5,26165.0,3194.0,0.1220714695203516,47.0,0.118197922153009,0.1263597111114498,low_speed_guard_0p25,hazard,,
3.0,3.5,22958.0,2542.0,0.1107239306559804,47.0,0.1073071349848681,0.1138807004035625,low_speed_guard_0p25,hazard,,
4.0,4.5,20410.0,2256.0,0.1105340519353258,47.0,0.1056929012403791,0.1159152106663355,low_speed_guard_0p25,hazard,,
5.0,5.5,18150.0,1939.0,0.106831955922865,47.0,0.1010426561106574,0.1116879208444397,low_speed_guard_0p25,hazard,,
6.0,6.5,16206.0,1719.0,0.1060718252499074,47.0,0.1012867878545648,0.1113398789107248,low_speed_guard_0p25,hazard,,
7.0,7.5,14479.0,1532.0,0.1058084121831618,47.0,0.1004135512384555,0.1109696770675042,low_speed_guard_0p25,hazard,,
8.0,8.5,12943.0,1306.0,0.1009039635324113,47.0,0.095330467587521,0.1065534710509841,low_speed_guard_0p25,hazard,,
9.0,9.5,11632.0,1168.0,0.1004126547455295,47.0,0.0959732812914947,0.1039967870537434,low_speed_guard_0p25,hazard,,
10.0,10.5,10462.0,1007.0,0.0962531064805964,47.0,0.0896099945886281,0.1025867901396066,low_speed_guard_0p25,hazard,,
11.0,11.5,9449.0,869.0,0.0919674039580908,47.0,0.0863626622774446,0.0967620367519425,low_speed_guard_0p25,hazard,,
12.0,12.5,8579.0,820.0,0.0955822356918055,47.0,0.0889507156892607,0.1024260922687578,low_speed_guard_0p25,hazard,,
13.0,13.5,7755.0,687.0,0.0885880077369439,47.0,0.0827168416326096,0.0943077226010827,low_speed_guard_0p25,hazard,,
14.0,14.5,7067.0,646.0,0.0914107825102589,47.0,0.0847658558330565,0.0977513690304399,low_speed_guard_0p25,hazard,,
15.0,15.5,6419.0,519.0,0.0808537155320143,47.0,0.0740504205101725,0.0874137424754074,low_speed_guard_0p25,hazard,,
16.0,16.5,5895.0,473.0,0.0802374893977947,47.0,0.0755472461241975,0.0854791196460168,low_speed_guard_0p25,hazard,,
17.0,17.5,5419.0,447.0,0.0824875438272744,47.0,0.0754425377304427,0.0885914335097089,low_speed_guard_0p25,hazard,,
18.0,18.5,4971.0,353.0,0.0710118688392677,47.0,0.0627879562133745,0.0791936314322873,low_speed_guard_0p25,hazard,,
19.0,19.5,4616.0,340.0,0.0736568457538994,47.0,0.0668323920261204,0.0812561615536136,low_speed_guard_0p25,hazard,,
