age_band_s,current_state,next_state,transition_count,n_origin_state_transitions,dedupe_rows_before,dedupe_rows_after,dedupe_rows_removed
0-5,low,low,36069,56782,355330,355330,0
0-5,low,mid,17378,56782,355330,355330,0
0-5,low,high,3335,56782,355330,355330,0
0-5,mid,low,6662,47594,355330,355330,0
0-5,mid,mid,26099,47594,355330,355330,0
0-5,mid,high,14833,47594,355330,355330,0
0-5,high,low,550,39726,355330,355330,0
0-5,high,mid,6609,39726,355330,355330,0
0-5,high,high,32567,39726,355330,355330,0
5-10,low,low,7159,9579,355330,355330,0
5-10,low,mid,2245,9579,355330,355330,0
5-10,low,high,175,9579,355330,355330,0
5-10,mid,low,3362,21630,355330,355330,0
5-10,mid,mid,13687,21630,355330,355330,0
5-10,mid,high,4581,21630,355330,355330,0
5-10,high,low,320,36049,355330,355330,0
5-10,high,mid,6459,36049,355330,355330,0
5-10,high,high,29270,36049,355330,355330,0
10-20,low,low,8666,11088,355330,355330,0
10-20,low,mid,2286,11088,355330,355330,0
10-20,low,high,136,11088,355330,355330,0
10-20,mid,low,3473,19172,355330,355330,0
10-20,mid,mid,12299,19172,355330,355330,0
10-20,mid,high,3400,19172,355330,355330,0
10-20,high,low,256,23056,355330,355330,0
10-20,high,mid,4895,23056,355330,355330,0
10-20,high,high,17905,23056,355330,355330,0
20-35,low,low,4858,6067,355330,355330,0
20-35,low,mid,1151,6067,355330,355330,0
20-35,low,high,58,6067,355330,355330,0
20-35,mid,low,1625,6871,355330,355330,0
20-35,mid,mid,4235,6871,355330,355330,0
20-35,mid,high,1011,6871,355330,355330,0
20-35,high,low,108,5747,355330,355330,0
20-35,high,mid,1433,5747,355330,355330,0
20-35,high,high,4206,5747,355330,355330,0
