age_band_s,current_state,next_state,transition_count,probability,n_origin_state_transitions,dedupe_rows_before,dedupe_rows_after,dedupe_rows_removed
0-5,low,low,36069,0.6352189074002325,56782,355330,355330,0
0-5,low,mid,17378,0.3060476911697369,56782,355330,355330,0
0-5,low,high,3335,0.0587334014300306,56782,355330,355330,0
0-5,mid,low,6662,0.1399756271798966,47594,355330,355330,0
0-5,mid,mid,26099,0.5483674412741102,47594,355330,355330,0
0-5,mid,high,14833,0.3116569315459931,47594,355330,355330,0
0-5,high,low,550,0.0138448371343704,39726,355330,355330,0
0-5,high,mid,6609,0.1663645974928258,39726,355330,355330,0
0-5,high,high,32567,0.8197905653728037,39726,355330,355330,0
5-10,low,low,7159,0.7473640254723876,9579,355330,355330,0
5-10,low,mid,2245,0.234366844138219,9579,355330,355330,0
5-10,low,high,175,0.0182691303893934,9579,355330,355330,0
5-10,mid,low,3362,0.1554322699953768,21630,355330,355330,0
5-10,mid,mid,13687,0.6327785483125289,21630,355330,355330,0
5-10,mid,high,4581,0.2117891816920943,21630,355330,355330,0
5-10,high,low,320,0.0088768065688368,36049,355330,355330,0
5-10,high,mid,6459,0.1791727925878665,36049,355330,355330,0
5-10,high,high,29270,0.8119504008432966,36049,355330,355330,0
10-20,low,low,8666,0.7815656565656566,11088,355330,355330,0
10-20,low,mid,2286,0.2061688311688311,11088,355330,355330,0
10-20,low,high,136,0.0122655122655122,11088,355330,355330,0
10-20,mid,low,3473,0.1811495931566868,19172,355330,355330,0
10-20,mid,mid,12299,0.6415084498226581,19172,355330,355330,0
10-20,mid,high,3400,0.1773419570206551,19172,355330,355330,0
10-20,high,low,256,0.0111034004163775,23056,355330,355330,0
10-20,high,mid,4895,0.2123091603053435,23056,355330,355330,0
10-20,high,high,17905,0.776587439278279,23056,355330,355330,0
20-35,low,low,4858,0.8007252348772046,6067,355330,355330,0
20-35,low,mid,1151,0.1897148508323718,6067,355330,355330,0
20-35,low,high,58,0.0095599142904236,6067,355330,355330,0
20-35,mid,low,1625,0.2365012370833939,6871,355330,355330,0
20-35,mid,mid,4235,0.6163586086450298,6871,355330,355330,0
20-35,mid,high,1011,0.1471401542715762,6871,355330,355330,0
20-35,high,low,108,0.0187924134330955,5747,355330,355330,0
20-35,high,mid,1433,0.2493474856446841,5747,355330,355330,0
20-35,high,high,4206,0.7318601009222203,5747,355330,355330,0
